2023-12-04_00-10-43: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.0001, 'optimizer': 'sgd', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': True, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_00-10-43: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_00-10-43: conv1.bias: torch.Size([32])
2023-12-04_00-10-43: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_00-10-43: conv_layers.0.bias: torch.Size([64])
2023-12-04_00-10-43: conv_layers.3.weight: torch.Size([64, 64, 3, 3])
2023-12-04_00-10-43: conv_layers.3.bias: torch.Size([64])
2023-12-04_00-10-43: linear.weight: torch.Size([2, 200704])
2023-12-04_00-10-43: linear.bias: torch.Size([2])
2023-12-04_00-10-43: 
Total parameters: 457,730;	Trainable: 457,730
2023-12-04_00-11-57: Epoch: 1 | Train loss: 0.4751805979255083 | Train acc: {'40X': 76.78, '100X': 78.03, '200X': 82.49, '400X': 81.42, 'avg_acc': 79.68, 'all_acc': 79.62} | Valid loss: 0.42082258850336074 | Valid acc: {'40X': 83.71, '100X': 83.45, '200X': 83.33, '400X': 81.59, 'avg_acc': 83.02, 'all_acc': 83.06}| Runtime: 1.2 mins
2023-12-04_00-13-13: Epoch: 2 | Train loss: 0.3904799566276976 | Train acc: {'40X': 80.43, '100X': 83.97, '200X': 86.63, '400X': 84.83, 'avg_acc': 83.96, 'all_acc': 83.95} | Valid loss: 0.3800998592376709 | Valid acc: {'40X': 84.96, '100X': 85.37, '200X': 85.57, '400X': 83.52, 'avg_acc': 84.85, 'all_acc': 84.89}| Runtime: 1.3 mins
2023-12-04_00-14-27: Epoch: 3 | Train loss: 0.337371361920157 | Train acc: {'40X': 83.86, '100X': 84.18, '200X': 87.55, '400X': 87.43, 'avg_acc': 85.76, 'all_acc': 85.71} | Valid loss: 0.457693018913269 | Valid acc: {'40X': 83.46, '100X': 85.13, '200X': 84.83, '400X': 79.95, 'avg_acc': 83.34, 'all_acc': 83.44}| Runtime: 1.2 mins
2023-12-04_00-15-43: Epoch: 4 | Train loss: 0.31611926551606206 | Train acc: {'40X': 85.44, '100X': 85.73, '200X': 87.38, '400X': 87.61, 'avg_acc': 86.54, 'all_acc': 86.51} | Valid loss: 0.3664352884888649 | Valid acc: {'40X': 83.96, '100X': 85.37, '200X': 85.07, '400X': 84.62, 'avg_acc': 84.76, 'all_acc': 84.77}| Runtime: 1.3 mins
2023-12-04_00-16-58: Epoch: 5 | Train loss: 0.29969436010798894 | Train acc: {'40X': 85.36, '100X': 86.84, '200X': 88.62, '400X': 89.0, 'avg_acc': 87.46, 'all_acc': 87.42} | Valid loss: 0.35480895280838015 | Valid acc: {'40X': 84.46, '100X': 84.89, '200X': 86.07, '400X': 83.24, 'avg_acc': 84.66, 'all_acc': 84.7}| Runtime: 1.3 mins
2023-12-04_00-18-15: Epoch: 6 | Train loss: 0.27848421047265465 | Train acc: {'40X': 86.96, '100X': 86.28, '200X': 88.86, '400X': 89.55, 'avg_acc': 87.91, 'all_acc': 87.86} | Valid loss: 0.35105364680290224 | Valid acc: {'40X': 84.21, '100X': 86.33, '200X': 85.82, '400X': 83.79, 'avg_acc': 85.04, 'all_acc': 85.08}| Runtime: 1.3 mins
2023-12-04_00-19-30: Epoch: 7 | Train loss: 0.2582813170612664 | Train acc: {'40X': 87.03, '100X': 88.59, '200X': 89.31, '400X': 91.64, 'avg_acc': 89.14, 'all_acc': 89.08} | Valid loss: 0.34545476466417313 | Valid acc: {'40X': 85.96, '100X': 86.81, '200X': 85.32, '400X': 84.34, 'avg_acc': 85.61, 'all_acc': 85.65}| Runtime: 1.3 mins
2023-12-04_00-20-44: Epoch: 8 | Train loss: 0.23554639022394613 | Train acc: {'40X': 88.22, '100X': 90.92, '200X': 91.53, '400X': 90.37, 'avg_acc': 90.26, 'all_acc': 90.27} | Valid loss: 0.36810711115598677 | Valid acc: {'40X': 85.46, '100X': 84.65, '200X': 84.83, '400X': 84.07, 'avg_acc': 84.75, 'all_acc': 84.77}| Runtime: 1.2 mins
2023-12-04_00-22-02: Epoch: 9 | Train loss: 0.22368942880751314 | Train acc: {'40X': 89.04, '100X': 91.26, '200X': 92.21, '400X': 92.37, 'avg_acc': 91.22, 'all_acc': 91.2} | Valid loss: 0.36958192169666293 | Valid acc: {'40X': 85.96, '100X': 86.57, '200X': 86.82, '400X': 79.95, 'avg_acc': 84.82, 'all_acc': 84.96}| Runtime: 1.3 mins
2023-12-04_00-23-19: Epoch: 10 | Train loss: 0.21841656034057205 | Train acc: {'40X': 89.79, '100X': 91.17, '200X': 92.12, '400X': 91.46, 'avg_acc': 91.14, 'all_acc': 91.13} | Valid loss: 0.35836018085479737 | Valid acc: {'40X': 84.71, '100X': 84.89, '200X': 86.32, '400X': 84.62, 'avg_acc': 85.14, 'all_acc': 85.15}| Runtime: 1.3 mins
2023-12-04_00-23-19: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  76.78  78.03  82.49  81.42    79.68    79.62
1      2  80.43  83.97  86.63  84.83    83.96    83.95
2      3  83.86  84.18  87.55  87.43    85.76    85.71
3      4  85.44  85.73  87.38  87.61    86.54    86.51
4      5  85.36  86.84  88.62  89.00    87.46    87.42
5      6  86.96  86.28  88.86  89.55    87.91    87.86
6      7  87.03  88.59  89.31  91.64    89.14    89.08
7      8  88.22  90.92  91.53  90.37    90.26    90.27
8      9  89.04  91.26  92.21  92.37    91.22    91.20
9     10  89.79  91.17  92.12  91.46    91.14    91.13
2023-12-04_00-23-19: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  83.71  83.45  83.33  81.59    83.02    83.06
1      2  84.96  85.37  85.57  83.52    84.85    84.89
2      3  83.46  85.13  84.83  79.95    83.34    83.44
3      4  83.96  85.37  85.07  84.62    84.76    84.77
4      5  84.46  84.89  86.07  83.24    84.66    84.70
5      6  84.21  86.33  85.82  83.79    85.04    85.08
6      7  85.96  86.81  85.32  84.34    85.61    85.65
7      8  85.46  84.65  84.83  84.07    84.75    84.77
8      9  85.96  86.57  86.82  79.95    84.82    84.96
9     10  84.71  84.89  86.32  84.62    85.14    85.15
2023-12-04_00-23-19: Final test accuracy: {'40X': 83.21, '100X': 82.69, '200X': 91.07, '400X': 84.89, 'avg_acc': 85.46, 'all_acc': 85.46}
