2023-12-04_00-11-26: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.0001, 'optimizer': 'adam', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': True, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_00-11-26: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_00-11-26: conv1.bias: torch.Size([32])
2023-12-04_00-11-26: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_00-11-26: conv_layers.0.bias: torch.Size([64])
2023-12-04_00-11-26: conv_layers.3.weight: torch.Size([64, 64, 3, 3])
2023-12-04_00-11-26: conv_layers.3.bias: torch.Size([64])
2023-12-04_00-11-26: linear.weight: torch.Size([2, 200704])
2023-12-04_00-11-26: linear.bias: torch.Size([2])
2023-12-04_00-11-26: 
Total parameters: 457,730;	Trainable: 457,730
2023-12-04_00-12-40: Epoch: 1 | Train loss: 0.4351855810429599 | Train acc: {'40X': 79.6, '100X': 80.99, '200X': 85.87, '400X': 83.85, 'avg_acc': 82.58, 'all_acc': 82.54} | Valid loss: 0.3553462012112141 | Valid acc: {'40X': 84.21, '100X': 85.13, '200X': 86.07, '400X': 82.69, 'avg_acc': 84.52, 'all_acc': 84.58}| Runtime: 1.2 mins
2023-12-04_00-13-56: Epoch: 2 | Train loss: 0.2980303534281415 | Train acc: {'40X': 84.6, '100X': 87.64, '200X': 88.55, '400X': 87.16, 'avg_acc': 86.99, 'all_acc': 86.99} | Valid loss: 0.3399328988790512 | Valid acc: {'40X': 84.71, '100X': 84.17, '200X': 88.31, '400X': 82.97, 'avg_acc': 85.04, 'all_acc': 85.08}| Runtime: 1.3 mins
2023-12-04_00-15-11: Epoch: 3 | Train loss: 0.22907793884341782 | Train acc: {'40X': 89.72, '100X': 91.25, '200X': 91.29, '400X': 91.36, 'avg_acc': 90.9, 'all_acc': 90.9} | Valid loss: 0.39501274421811106 | Valid acc: {'40X': 85.46, '100X': 84.65, '200X': 87.31, '400X': 82.42, 'avg_acc': 84.96, 'all_acc': 85.02}| Runtime: 1.2 mins
2023-12-04_00-16-26: Epoch: 4 | Train loss: 0.17720386411088543 | Train acc: {'40X': 91.72, '100X': 94.38, '200X': 93.79, '400X': 92.82, 'avg_acc': 93.18, 'all_acc': 93.2} | Valid loss: 0.35644265443086626 | Valid acc: {'40X': 86.22, '100X': 88.01, '200X': 87.56, '400X': 80.77, 'avg_acc': 85.64, 'all_acc': 85.78}| Runtime: 1.3 mins
2023-12-04_00-17-39: Epoch: 5 | Train loss: 0.10295064220003583 | Train acc: {'40X': 95.4, '100X': 97.75, '200X': 97.1, '400X': 96.88, 'avg_acc': 96.78, 'all_acc': 96.79} | Valid loss: 0.3474826240539551 | Valid acc: {'40X': 86.22, '100X': 87.05, '200X': 87.31, '400X': 81.04, 'avg_acc': 85.4, 'all_acc': 85.52}| Runtime: 1.2 mins
2023-12-04_00-18-54: Epoch: 6 | Train loss: 0.06432239613118204 | Train acc: {'40X': 97.66, '100X': 99.04, '200X': 99.25, '400X': 97.52, 'avg_acc': 98.37, 'all_acc': 98.4} | Valid loss: 0.4488552986457944 | Valid acc: {'40X': 85.96, '100X': 84.65, '200X': 87.81, '400X': 84.07, 'avg_acc': 85.62, 'all_acc': 85.65}| Runtime: 1.2 mins
2023-12-04_00-20-06: Epoch: 7 | Train loss: 0.033152485766599106 | Train acc: {'40X': 99.0, '100X': 99.6, '200X': 99.75, '400X': 99.45, 'avg_acc': 99.45, 'all_acc': 99.45} | Valid loss: 0.44840665519237516 | Valid acc: {'40X': 87.47, '100X': 87.29, '200X': 88.81, '400X': 83.79, 'avg_acc': 86.84, 'all_acc': 86.92}| Runtime: 1.2 mins
2023-12-04_00-21-20: Epoch: 8 | Train loss: 0.024492079738175142 | Train acc: {'40X': 99.66, '100X': 99.68, '200X': 99.83, '400X': 99.08, 'avg_acc': 99.56, 'all_acc': 99.58} | Valid loss: 0.5745916703343391 | Valid acc: {'40X': 86.22, '100X': 84.17, '200X': 88.06, '400X': 81.04, 'avg_acc': 84.87, 'all_acc': 84.96}| Runtime: 1.2 mins
2023-12-04_00-22-33: Epoch: 9 | Train loss: 0.015339574414758465 | Train acc: {'40X': 99.83, '100X': 99.84, '200X': 100.0, '400X': 99.82, 'avg_acc': 99.87, 'all_acc': 99.87} | Valid loss: 0.5807550027966499 | Valid acc: {'40X': 87.22, '100X': 86.09, '200X': 88.06, '400X': 82.42, 'avg_acc': 85.95, 'all_acc': 86.03}| Runtime: 1.2 mins
2023-12-04_00-23-49: Epoch: 10 | Train loss: 0.011122716588402368 | Train acc: {'40X': 99.92, '100X': 99.68, '200X': 100.0, '400X': 99.63, 'avg_acc': 99.81, 'all_acc': 99.81} | Valid loss: 0.7863949212431908 | Valid acc: {'40X': 84.71, '100X': 83.21, '200X': 86.07, '400X': 82.97, 'avg_acc': 84.24, 'all_acc': 84.26}| Runtime: 1.3 mins
2023-12-04_00-23-49: Train summary:    epoch    40X   100X    200X   400X  avg_acc  all_acc
0      1  79.60  80.99   85.87  83.85    82.58    82.54
1      2  84.60  87.64   88.55  87.16    86.99    86.99
2      3  89.72  91.25   91.29  91.36    90.90    90.90
3      4  91.72  94.38   93.79  92.82    93.18    93.20
4      5  95.40  97.75   97.10  96.88    96.78    96.79
5      6  97.66  99.04   99.25  97.52    98.37    98.40
6      7  99.00  99.60   99.75  99.45    99.45    99.45
7      8  99.66  99.68   99.83  99.08    99.56    99.58
8      9  99.83  99.84  100.00  99.82    99.87    99.87
9     10  99.92  99.68  100.00  99.63    99.81    99.81
2023-12-04_00-23-49: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  84.21  85.13  86.07  82.69    84.52    84.58
1      2  84.71  84.17  88.31  82.97    85.04    85.08
2      3  85.46  84.65  87.31  82.42    84.96    85.02
3      4  86.22  88.01  87.56  80.77    85.64    85.78
4      5  86.22  87.05  87.31  81.04    85.40    85.52
5      6  85.96  84.65  87.81  84.07    85.62    85.65
6      7  87.47  87.29  88.81  83.79    86.84    86.92
7      8  86.22  84.17  88.06  81.04    84.87    84.96
8      9  87.22  86.09  88.06  82.42    85.95    86.03
9     10  84.71  83.21  86.07  82.97    84.24    84.26
2023-12-04_00-23-49: Final test accuracy: {'40X': 86.97, '100X': 86.3, '200X': 92.06, '400X': 85.71, 'avg_acc': 87.76, 'all_acc': 87.8}
