2023-12-04_00-23-19: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.0001, 'optimizer': 'sgd', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': False, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_00-23-19: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_00-23-19: conv1.bias: torch.Size([32])
2023-12-04_00-23-19: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_00-23-19: conv_layers.0.bias: torch.Size([64])
2023-12-04_00-23-19: conv_layers.2.weight: torch.Size([64, 64, 3, 3])
2023-12-04_00-23-19: conv_layers.2.bias: torch.Size([64])
2023-12-04_00-23-19: linear.weight: torch.Size([2, 3211264])
2023-12-04_00-23-19: linear.bias: torch.Size([2])
2023-12-04_00-23-19: 
Total parameters: 6,478,850;	Trainable: 6,478,850
2023-12-04_00-24-33: Epoch: 1 | Train loss: 0.46232882343434 | Train acc: {'40X': 79.68, '100X': 81.19, '200X': 83.15, '400X': 80.93, 'avg_acc': 81.24, 'all_acc': 81.25} | Valid loss: 0.4975315669178963 | Valid acc: {'40X': 80.45, '100X': 81.29, '200X': 84.58, '400X': 82.97, 'avg_acc': 82.32, 'all_acc': 82.3}| Runtime: 1.2 mins
2023-12-04_00-25-42: Epoch: 2 | Train loss: 0.27340776503488823 | Train acc: {'40X': 87.6, '100X': 87.65, '200X': 90.38, '400X': 88.61, 'avg_acc': 88.56, 'all_acc': 88.56} | Valid loss: 0.3440562427043915 | Valid acc: {'40X': 83.71, '100X': 86.33, '200X': 87.56, '400X': 86.26, 'avg_acc': 85.96, 'all_acc': 85.97}| Runtime: 1.2 mins
2023-12-04_00-26-45: Epoch: 3 | Train loss: 0.20214952236494502 | Train acc: {'40X': 90.21, '100X': 93.72, '200X': 93.12, '400X': 92.22, 'avg_acc': 92.32, 'all_acc': 92.34} | Valid loss: 0.4021643379330635 | Valid acc: {'40X': 83.21, '100X': 84.65, '200X': 85.57, '400X': 82.69, 'avg_acc': 84.03, 'all_acc': 84.07}| Runtime: 1.0 mins
2023-12-04_00-27-50: Epoch: 4 | Train loss: 0.16713326474702037 | Train acc: {'40X': 92.71, '100X': 95.18, '200X': 95.77, '400X': 93.3, 'avg_acc': 94.24, 'all_acc': 94.28} | Valid loss: 0.40217374831438063 | Valid acc: {'40X': 84.46, '100X': 86.09, '200X': 86.07, '400X': 81.87, 'avg_acc': 84.62, 'all_acc': 84.7}| Runtime: 1.1 mins
2023-12-04_00-28-53: Epoch: 5 | Train loss: 0.11574735399335623 | Train acc: {'40X': 96.49, '100X': 98.31, '200X': 97.68, '400X': 96.97, 'avg_acc': 97.36, 'all_acc': 97.38} | Valid loss: 0.42572243690490724 | Valid acc: {'40X': 81.2, '100X': 85.61, '200X': 84.58, '400X': 82.42, 'avg_acc': 83.45, 'all_acc': 83.5}| Runtime: 1.1 mins
2023-12-04_00-29-53: Epoch: 6 | Train loss: 0.07900391651216794 | Train acc: {'40X': 97.83, '100X': 98.63, '200X': 98.51, '400X': 98.53, 'avg_acc': 98.38, 'all_acc': 98.37} | Valid loss: 0.4220524509251118 | Valid acc: {'40X': 84.71, '100X': 82.97, '200X': 85.32, '400X': 80.22, 'avg_acc': 83.3, 'all_acc': 83.38}| Runtime: 1.0 mins
2023-12-04_00-30-47: Epoch: 7 | Train loss: 0.061155813569958146 | Train acc: {'40X': 98.08, '100X': 99.44, '200X': 99.09, '400X': 99.08, 'avg_acc': 98.92, 'all_acc': 98.92} | Valid loss: 0.42692906528711316 | Valid acc: {'40X': 83.71, '100X': 83.69, '200X': 85.82, '400X': 82.14, 'avg_acc': 83.84, 'all_acc': 83.88}| Runtime: 0.9 mins
2023-12-04_00-31-41: Epoch: 8 | Train loss: 0.05674595844843802 | Train acc: {'40X': 98.41, '100X': 99.52, '200X': 98.67, '400X': 99.08, 'avg_acc': 98.92, 'all_acc': 98.92} | Valid loss: 0.4454570119082928 | Valid acc: {'40X': 80.45, '100X': 83.69, '200X': 84.33, '400X': 80.49, 'avg_acc': 82.24, 'all_acc': 82.3}| Runtime: 0.9 mins
2023-12-04_00-32-35: Epoch: 9 | Train loss: 0.044581350423647345 | Train acc: {'40X': 99.16, '100X': 99.28, '200X': 99.59, '400X': 99.17, 'avg_acc': 99.3, 'all_acc': 99.3} | Valid loss: 0.45310094505548476 | Valid acc: {'40X': 82.46, '100X': 85.37, '200X': 85.32, '400X': 81.87, 'avg_acc': 83.76, 'all_acc': 83.82}| Runtime: 0.9 mins
2023-12-04_00-33-29: Epoch: 10 | Train loss: 0.028097842027105996 | Train acc: {'40X': 99.75, '100X': 99.76, '200X': 99.92, '400X': 99.82, 'avg_acc': 99.81, 'all_acc': 99.81} | Valid loss: 0.5393794286251068 | Valid acc: {'40X': 84.96, '100X': 85.37, '200X': 85.57, '400X': 81.04, 'avg_acc': 84.24, 'all_acc': 84.32}| Runtime: 0.9 mins
2023-12-04_00-33-29: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  79.68  81.19  83.15  80.93    81.24    81.25
1      2  87.60  87.65  90.38  88.61    88.56    88.56
2      3  90.21  93.72  93.12  92.22    92.32    92.34
3      4  92.71  95.18  95.77  93.30    94.24    94.28
4      5  96.49  98.31  97.68  96.97    97.36    97.38
5      6  97.83  98.63  98.51  98.53    98.38    98.37
6      7  98.08  99.44  99.09  99.08    98.92    98.92
7      8  98.41  99.52  98.67  99.08    98.92    98.92
8      9  99.16  99.28  99.59  99.17    99.30    99.30
9     10  99.75  99.76  99.92  99.82    99.81    99.81
2023-12-04_00-33-29: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  80.45  81.29  84.58  82.97    82.32    82.30
1      2  83.71  86.33  87.56  86.26    85.96    85.97
2      3  83.21  84.65  85.57  82.69    84.03    84.07
3      4  84.46  86.09  86.07  81.87    84.62    84.70
4      5  81.20  85.61  84.58  82.42    83.45    83.50
5      6  84.71  82.97  85.32  80.22    83.30    83.38
6      7  83.71  83.69  85.82  82.14    83.84    83.88
7      8  80.45  83.69  84.33  80.49    82.24    82.30
8      9  82.46  85.37  85.32  81.87    83.76    83.82
9     10  84.96  85.37  85.57  81.04    84.24    84.32
2023-12-04_00-33-29: Final test accuracy: {'40X': 81.7, '100X': 83.89, '200X': 90.07, '400X': 87.09, 'avg_acc': 85.69, 'all_acc': 85.65}
