2023-12-04_00-52-51: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.001, 'optimizer': 'adam', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': True, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_00-52-51: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_00-52-51: conv1.bias: torch.Size([32])
2023-12-04_00-52-51: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_00-52-51: conv_layers.0.bias: torch.Size([64])
2023-12-04_00-52-51: conv_layers.3.weight: torch.Size([64, 64, 3, 3])
2023-12-04_00-52-51: conv_layers.3.bias: torch.Size([64])
2023-12-04_00-52-51: linear.weight: torch.Size([2, 200704])
2023-12-04_00-52-51: linear.bias: torch.Size([2])
2023-12-04_00-52-51: 
Total parameters: 457,730;	Trainable: 457,730
2023-12-04_00-53-49: Epoch: 1 | Train loss: 0.6690574761580776 | Train acc: {'40X': 77.53, '100X': 79.6, '200X': 83.79, '400X': 83.41, 'avg_acc': 81.08, 'all_acc': 81.02} | Valid loss: 0.3507672789692879 | Valid acc: {'40X': 81.45, '100X': 86.57, '200X': 86.32, '400X': 87.91, 'avg_acc': 85.56, 'all_acc': 85.52}| Runtime: 1.0 mins
2023-12-04_00-54-46: Epoch: 2 | Train loss: 0.3648685593460057 | Train acc: {'40X': 83.21, '100X': 84.55, '200X': 87.39, '400X': 84.6, 'avg_acc': 84.94, 'all_acc': 84.95} | Valid loss: 0.35031434386968613 | Valid acc: {'40X': 83.46, '100X': 87.29, '200X': 85.82, '400X': 86.26, 'avg_acc': 85.71, 'all_acc': 85.71}| Runtime: 0.9 mins
2023-12-04_00-55-40: Epoch: 3 | Train loss: 0.31401179328158096 | Train acc: {'40X': 86.6, '100X': 86.45, '200X': 88.54, '400X': 87.08, 'avg_acc': 87.17, 'all_acc': 87.16} | Valid loss: 0.3131896138191223 | Valid acc: {'40X': 85.96, '100X': 86.57, '200X': 87.06, '400X': 83.79, 'avg_acc': 85.84, 'all_acc': 85.9}| Runtime: 0.9 mins
2023-12-04_00-56-34: Epoch: 4 | Train loss: 0.24119553367632465 | Train acc: {'40X': 89.45, '100X': 90.44, '200X': 89.72, '400X': 89.73, 'avg_acc': 89.84, 'all_acc': 89.84} | Valid loss: 0.35796642750501634 | Valid acc: {'40X': 81.95, '100X': 82.73, '200X': 83.83, '400X': 83.52, 'avg_acc': 83.01, 'all_acc': 83.0}| Runtime: 0.9 mins
2023-12-04_00-57-30: Epoch: 5 | Train loss: 0.14326094869977316 | Train acc: {'40X': 93.13, '100X': 95.43, '200X': 96.27, '400X': 94.41, 'avg_acc': 94.81, 'all_acc': 94.83} | Valid loss: 0.5810794407874346 | Valid acc: {'40X': 82.71, '100X': 86.57, '200X': 84.58, '400X': 83.52, 'avg_acc': 84.34, 'all_acc': 84.39}| Runtime: 0.9 mins
2023-12-04_00-58-29: Epoch: 6 | Train loss: 0.08788926577245867 | Train acc: {'40X': 95.82, '100X': 96.95, '200X': 97.92, '400X': 96.79, 'avg_acc': 96.87, 'all_acc': 96.88} | Valid loss: 0.5702122983336448 | Valid acc: {'40X': 77.94, '100X': 81.53, '200X': 82.84, '400X': 75.82, 'avg_acc': 79.53, 'all_acc': 79.65}| Runtime: 1.0 mins
2023-12-04_00-59-30: Epoch: 7 | Train loss: 0.05567251777156835 | Train acc: {'40X': 96.9, '100X': 98.48, '200X': 98.09, '400X': 98.07, 'avg_acc': 97.88, 'all_acc': 97.89} | Valid loss: 0.8469661882519722 | Valid acc: {'40X': 82.71, '100X': 80.34, '200X': 84.33, '400X': 76.37, 'avg_acc': 80.94, 'all_acc': 81.04}| Runtime: 1.0 mins
2023-12-04_01-00-29: Epoch: 8 | Train loss: 0.03639608710639279 | Train acc: {'40X': 98.49, '100X': 99.12, '200X': 98.76, '400X': 98.9, 'avg_acc': 98.82, 'all_acc': 98.82} | Valid loss: 0.7795734009146691 | Valid acc: {'40X': 83.21, '100X': 81.77, '200X': 85.32, '400X': 78.3, 'avg_acc': 82.15, 'all_acc': 82.24}| Runtime: 1.0 mins
2023-12-04_01-01-28: Epoch: 9 | Train loss: 0.01444994886293677 | Train acc: {'40X': 99.08, '100X': 99.76, '200X': 99.59, '400X': 99.63, 'avg_acc': 99.52, 'all_acc': 99.51} | Valid loss: 1.183949775993824 | Valid acc: {'40X': 79.95, '100X': 82.25, '200X': 80.1, '400X': 78.85, 'avg_acc': 80.29, 'all_acc': 80.34}| Runtime: 1.0 mins
2023-12-04_01-02-23: Epoch: 10 | Train loss: 0.10684346904275338 | Train acc: {'40X': 96.06, '100X': 96.31, '200X': 96.27, '400X': 95.78, 'avg_acc': 96.1, 'all_acc': 96.11} | Valid loss: 0.8473719051480293 | Valid acc: {'40X': 79.95, '100X': 81.53, '200X': 82.09, '400X': 79.95, 'avg_acc': 80.88, 'all_acc': 80.91}| Runtime: 0.9 mins
2023-12-04_01-02-23: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  77.53  79.60  83.79  83.41    81.08    81.02
1      2  83.21  84.55  87.39  84.60    84.94    84.95
2      3  86.60  86.45  88.54  87.08    87.17    87.16
3      4  89.45  90.44  89.72  89.73    89.84    89.84
4      5  93.13  95.43  96.27  94.41    94.81    94.83
5      6  95.82  96.95  97.92  96.79    96.87    96.88
6      7  96.90  98.48  98.09  98.07    97.88    97.89
7      8  98.49  99.12  98.76  98.90    98.82    98.82
8      9  99.08  99.76  99.59  99.63    99.52    99.51
9     10  96.06  96.31  96.27  95.78    96.10    96.11
2023-12-04_01-02-23: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  81.45  86.57  86.32  87.91    85.56    85.52
1      2  83.46  87.29  85.82  86.26    85.71    85.71
2      3  85.96  86.57  87.06  83.79    85.84    85.90
3      4  81.95  82.73  83.83  83.52    83.01    83.00
4      5  82.71  86.57  84.58  83.52    84.34    84.39
5      6  77.94  81.53  82.84  75.82    79.53    79.65
6      7  82.71  80.34  84.33  76.37    80.94    81.04
7      8  83.21  81.77  85.32  78.30    82.15    82.24
8      9  79.95  82.25  80.10  78.85    80.29    80.34
9     10  79.95  81.53  82.09  79.95    80.88    80.91
2023-12-04_01-02-23: Final test accuracy: {'40X': 84.46, '100X': 84.38, '200X': 89.83, '400X': 84.07, 'avg_acc': 85.68, 'all_acc': 85.71}
