2023-12-04_01-02-07: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.001, 'optimizer': 'sgd', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': False, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_01-02-07: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_01-02-07: conv1.bias: torch.Size([32])
2023-12-04_01-02-07: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_01-02-07: conv_layers.0.bias: torch.Size([64])
2023-12-04_01-02-07: conv_layers.2.weight: torch.Size([64, 64, 3, 3])
2023-12-04_01-02-07: conv_layers.2.bias: torch.Size([64])
2023-12-04_01-02-07: linear.weight: torch.Size([2, 3211264])
2023-12-04_01-02-07: linear.bias: torch.Size([2])
2023-12-04_01-02-07: 
Total parameters: 6,478,850;	Trainable: 6,478,850
2023-12-04_01-03-03: Epoch: 1 | Train loss: 0.489980630073193 | Train acc: {'40X': 78.48, '100X': 80.5, '200X': 84.52, '400X': 82.63, 'avg_acc': 81.53, 'all_acc': 81.5} | Valid loss: 0.34914383947849276 | Valid acc: {'40X': 84.21, '100X': 84.65, '200X': 85.32, '400X': 83.79, 'avg_acc': 84.49, 'all_acc': 84.51}| Runtime: 0.9 mins
2023-12-04_01-04-02: Epoch: 2 | Train loss: 0.30464046921681714 | Train acc: {'40X': 85.59, '100X': 86.9, '200X': 89.14, '400X': 87.09, 'avg_acc': 87.18, 'all_acc': 87.18} | Valid loss: 0.35895236194133756 | Valid acc: {'40X': 82.71, '100X': 86.09, '200X': 86.32, '400X': 84.62, 'avg_acc': 84.94, 'all_acc': 84.96}| Runtime: 1.0 mins
2023-12-04_01-05-02: Epoch: 3 | Train loss: 0.19626053465479934 | Train acc: {'40X': 91.81, '100X': 92.94, '200X': 93.26, '400X': 91.11, 'avg_acc': 92.28, 'all_acc': 92.31} | Valid loss: 0.3586756128072739 | Valid acc: {'40X': 81.7, '100X': 83.93, '200X': 84.83, '400X': 83.52, 'avg_acc': 83.49, 'all_acc': 83.5}| Runtime: 1.0 mins
2023-12-04_01-06-05: Epoch: 4 | Train loss: 0.06304818705177388 | Train acc: {'40X': 97.4, '100X': 98.39, '200X': 98.84, '400X': 97.7, 'avg_acc': 98.08, 'all_acc': 98.1} | Valid loss: 0.5315805442631245 | Valid acc: {'40X': 81.95, '100X': 86.09, '200X': 85.07, '400X': 82.97, 'avg_acc': 84.02, 'all_acc': 84.07}| Runtime: 1.0 mins
2023-12-04_01-07-00: Epoch: 5 | Train loss: 0.02383877239127115 | Train acc: {'40X': 99.33, '100X': 99.76, '200X': 99.42, '400X': 99.63, 'avg_acc': 99.54, 'all_acc': 99.54} | Valid loss: 0.5761470991373062 | Valid acc: {'40X': 80.2, '100X': 82.01, '200X': 79.35, '400X': 80.49, 'avg_acc': 80.51, 'all_acc': 80.53}| Runtime: 0.9 mins
2023-12-04_01-07-56: Epoch: 6 | Train loss: 0.016802043031438608 | Train acc: {'40X': 99.83, '100X': 99.76, '200X': 99.83, '400X': 98.53, 'avg_acc': 99.49, 'all_acc': 99.51} | Valid loss: 0.6521199098229409 | Valid acc: {'40X': 83.46, '100X': 83.93, '200X': 84.58, '400X': 81.87, 'avg_acc': 83.46, 'all_acc': 83.5}| Runtime: 0.9 mins
2023-12-04_01-08-51: Epoch: 7 | Train loss: 0.0035066188293795503 | Train acc: {'40X': 100.0, '100X': 100.0, '200X': 100.0, '400X': 99.91, 'avg_acc': 99.98, 'all_acc': 99.98} | Valid loss: 0.7575120120123029 | Valid acc: {'40X': 83.71, '100X': 84.65, '200X': 85.07, '400X': 82.42, 'avg_acc': 83.96, 'all_acc': 84.01}| Runtime: 0.9 mins
2023-12-04_01-09-46: Epoch: 8 | Train loss: 0.0013499765678913005 | Train acc: {'40X': 100.0, '100X': 100.0, '200X': 100.0, '400X': 100.0, 'avg_acc': 100.0, 'all_acc': 100.0} | Valid loss: 0.6476883247494698 | Valid acc: {'40X': 83.46, '100X': 85.13, '200X': 84.58, '400X': 84.34, 'avg_acc': 84.38, 'all_acc': 84.39}| Runtime: 0.9 mins
2023-12-04_01-10-42: Epoch: 9 | Train loss: 0.0007901627886403239 | Train acc: {'40X': 100.0, '100X': 100.0, '200X': 100.0, '400X': 100.0, 'avg_acc': 100.0, 'all_acc': 100.0} | Valid loss: 0.7113572961091995 | Valid acc: {'40X': 83.71, '100X': 85.37, '200X': 84.08, '400X': 84.34, 'avg_acc': 84.38, 'all_acc': 84.39}| Runtime: 0.9 mins
2023-12-04_01-11-37: Epoch: 10 | Train loss: 0.0005921885721535718 | Train acc: {'40X': 100.0, '100X': 100.0, '200X': 100.0, '400X': 100.0, 'avg_acc': 100.0, 'all_acc': 100.0} | Valid loss: 0.7624220853298902 | Valid acc: {'40X': 83.71, '100X': 85.85, '200X': 84.08, '400X': 83.79, 'avg_acc': 84.36, 'all_acc': 84.39}| Runtime: 0.9 mins
2023-12-04_01-11-37: Train summary:    epoch     40X    100X    200X    400X  avg_acc  all_acc
0      1   78.48   80.50   84.52   82.63    81.53    81.50
1      2   85.59   86.90   89.14   87.09    87.18    87.18
2      3   91.81   92.94   93.26   91.11    92.28    92.31
3      4   97.40   98.39   98.84   97.70    98.08    98.10
4      5   99.33   99.76   99.42   99.63    99.54    99.54
5      6   99.83   99.76   99.83   98.53    99.49    99.51
6      7  100.00  100.00  100.00   99.91    99.98    99.98
7      8  100.00  100.00  100.00  100.00   100.00   100.00
8      9  100.00  100.00  100.00  100.00   100.00   100.00
9     10  100.00  100.00  100.00  100.00   100.00   100.00
2023-12-04_01-11-37: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  84.21  84.65  85.32  83.79    84.49    84.51
1      2  82.71  86.09  86.32  84.62    84.94    84.96
2      3  81.70  83.93  84.83  83.52    83.49    83.50
3      4  81.95  86.09  85.07  82.97    84.02    84.07
4      5  80.20  82.01  79.35  80.49    80.51    80.53
5      6  83.46  83.93  84.58  81.87    83.46    83.50
6      7  83.71  84.65  85.07  82.42    83.96    84.01
7      8  83.46  85.13  84.58  84.34    84.38    84.39
8      9  83.71  85.37  84.08  84.34    84.38    84.39
9     10  83.71  85.85  84.08  83.79    84.36    84.39
2023-12-04_01-11-37: Final test accuracy: {'40X': 83.46, '100X': 81.25, '200X': 90.07, '400X': 85.44, 'avg_acc': 85.06, 'all_acc': 85.02}
