2023-12-04_02-03-32: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 1e-05, 'optimizer': 'adam', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': True, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_02-03-33: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_02-03-33: conv1.bias: torch.Size([32])
2023-12-04_02-03-33: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_02-03-33: conv_layers.0.bias: torch.Size([64])
2023-12-04_02-03-33: conv_layers.3.weight: torch.Size([64, 64, 3, 3])
2023-12-04_02-03-33: conv_layers.3.bias: torch.Size([64])
2023-12-04_02-03-33: linear.weight: torch.Size([2, 200704])
2023-12-04_02-03-33: linear.bias: torch.Size([2])
2023-12-04_02-03-33: 
Total parameters: 457,730;	Trainable: 457,730
2023-12-04_02-04-36: Epoch: 1 | Train loss: 0.48740296317516146 | Train acc: {'40X': 78.33, '100X': 78.89, '200X': 82.44, '400X': 82.17, 'avg_acc': 80.46, 'all_acc': 80.41} | Valid loss: 0.45225779473781585 | Valid acc: {'40X': 82.21, '100X': 82.97, '200X': 85.07, '400X': 84.07, 'avg_acc': 83.58, 'all_acc': 83.57}| Runtime: 1.0 mins
2023-12-04_02-05-43: Epoch: 2 | Train loss: 0.4116895410257417 | Train acc: {'40X': 82.91, '100X': 82.33, '200X': 85.81, '400X': 86.45, 'avg_acc': 84.38, 'all_acc': 84.31} | Valid loss: 0.4258497166633606 | Valid acc: {'40X': 83.21, '100X': 83.69, '200X': 84.33, '400X': 82.97, 'avg_acc': 83.55, 'all_acc': 83.57}| Runtime: 1.1 mins
2023-12-04_02-06-50: Epoch: 3 | Train loss: 0.3699027694560386 | Train acc: {'40X': 82.21, '100X': 82.92, '200X': 87.17, '400X': 86.04, 'avg_acc': 84.58, 'all_acc': 84.54} | Valid loss: 0.37168748676776886 | Valid acc: {'40X': 83.46, '100X': 84.89, '200X': 84.83, '400X': 84.34, 'avg_acc': 84.38, 'all_acc': 84.39}| Runtime: 1.1 mins
2023-12-04_02-07-59: Epoch: 4 | Train loss: 0.3338604719453567 | Train acc: {'40X': 84.1, '100X': 85.37, '200X': 86.91, '400X': 86.97, 'avg_acc': 85.84, 'all_acc': 85.81} | Valid loss: 0.3878325441479683 | Valid acc: {'40X': 81.2, '100X': 82.25, '200X': 84.83, '400X': 82.14, 'avg_acc': 82.6, 'all_acc': 82.62}| Runtime: 1.1 mins
2023-12-04_02-09-07: Epoch: 5 | Train loss: 0.30887458110983307 | Train acc: {'40X': 85.27, '100X': 85.45, '200X': 88.3, '400X': 87.55, 'avg_acc': 86.64, 'all_acc': 86.61} | Valid loss: 0.3613900150358677 | Valid acc: {'40X': 83.21, '100X': 84.17, '200X': 84.83, '400X': 82.69, 'avg_acc': 83.72, 'all_acc': 83.75}| Runtime: 1.1 mins
2023-12-04_02-10-13: Epoch: 6 | Train loss: 0.2940505409764277 | Train acc: {'40X': 85.0, '100X': 87.48, '200X': 88.58, '400X': 88.52, 'avg_acc': 87.4, 'all_acc': 87.37} | Valid loss: 0.34125823944807054 | Valid acc: {'40X': 84.21, '100X': 85.13, '200X': 85.57, '400X': 83.52, 'avg_acc': 84.61, 'all_acc': 84.64}| Runtime: 1.1 mins
2023-12-04_02-11-19: Epoch: 7 | Train loss: 0.27838288383508053 | Train acc: {'40X': 85.79, '100X': 87.65, '200X': 89.28, '400X': 89.27, 'avg_acc': 88.0, 'all_acc': 87.96} | Valid loss: 0.3384963220357895 | Valid acc: {'40X': 84.96, '100X': 86.57, '200X': 86.07, '400X': 84.07, 'avg_acc': 85.42, 'all_acc': 85.46}| Runtime: 1.1 mins
2023-12-04_02-12-25: Epoch: 8 | Train loss: 0.267341725578582 | Train acc: {'40X': 86.13, '100X': 88.93, '200X': 89.11, '400X': 90.27, 'avg_acc': 88.61, 'all_acc': 88.58} | Valid loss: 0.3412616208195686 | Valid acc: {'40X': 84.71, '100X': 85.37, '200X': 86.57, '400X': 83.24, 'avg_acc': 84.97, 'all_acc': 85.02}| Runtime: 1.1 mins
2023-12-04_02-13-35: Epoch: 9 | Train loss: 0.2527182016622376 | Train acc: {'40X': 87.36, '100X': 89.1, '200X': 91.36, '400X': 90.17, 'avg_acc': 89.5, 'all_acc': 89.48} | Valid loss: 0.3303744448721409 | Valid acc: {'40X': 84.96, '100X': 86.57, '200X': 85.57, '400X': 84.07, 'avg_acc': 85.29, 'all_acc': 85.34}| Runtime: 1.2 mins
2023-12-04_02-14-47: Epoch: 10 | Train loss: 0.23876957751407818 | Train acc: {'40X': 88.03, '100X': 91.02, '200X': 90.96, '400X': 91.27, 'avg_acc': 90.32, 'all_acc': 90.31} | Valid loss: 0.33058357298374175 | Valid acc: {'40X': 84.71, '100X': 85.85, '200X': 85.57, '400X': 84.07, 'avg_acc': 85.05, 'all_acc': 85.08}| Runtime: 1.2 mins
2023-12-04_02-14-47: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  78.33  78.89  82.44  82.17    80.46    80.41
1      2  82.91  82.33  85.81  86.45    84.38    84.31
2      3  82.21  82.92  87.17  86.04    84.58    84.54
3      4  84.10  85.37  86.91  86.97    85.84    85.81
4      5  85.27  85.45  88.30  87.55    86.64    86.61
5      6  85.00  87.48  88.58  88.52    87.40    87.37
6      7  85.79  87.65  89.28  89.27    88.00    87.96
7      8  86.13  88.93  89.11  90.27    88.61    88.58
8      9  87.36  89.10  91.36  90.17    89.50    89.48
9     10  88.03  91.02  90.96  91.27    90.32    90.31
2023-12-04_02-14-47: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  82.21  82.97  85.07  84.07    83.58    83.57
1      2  83.21  83.69  84.33  82.97    83.55    83.57
2      3  83.46  84.89  84.83  84.34    84.38    84.39
3      4  81.20  82.25  84.83  82.14    82.60    82.62
4      5  83.21  84.17  84.83  82.69    83.72    83.75
5      6  84.21  85.13  85.57  83.52    84.61    84.64
6      7  84.96  86.57  86.07  84.07    85.42    85.46
7      8  84.71  85.37  86.57  83.24    84.97    85.02
8      9  84.96  86.57  85.57  84.07    85.29    85.34
9     10  84.71  85.85  85.57  84.07    85.05    85.08
2023-12-04_02-14-47: Final test accuracy: {'40X': 82.96, '100X': 83.65, '200X': 91.56, '400X': 87.36, 'avg_acc': 86.38, 'all_acc': 86.35}
