2023-12-04_02-03-51: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 1e-05, 'optimizer': 'sgd', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': True, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_02-03-51: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_02-03-51: conv1.bias: torch.Size([32])
2023-12-04_02-03-51: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_02-03-51: conv_layers.0.bias: torch.Size([64])
2023-12-04_02-03-51: conv_layers.3.weight: torch.Size([64, 64, 3, 3])
2023-12-04_02-03-51: conv_layers.3.bias: torch.Size([64])
2023-12-04_02-03-51: linear.weight: torch.Size([2, 200704])
2023-12-04_02-03-51: linear.bias: torch.Size([2])
2023-12-04_02-03-51: 
Total parameters: 457,730;	Trainable: 457,730
2023-12-04_02-05-00: Epoch: 1 | Train loss: 0.5900716574208157 | Train acc: {'40X': 69.79, '100X': 68.7, '200X': 68.49, '400X': 68.23, 'avg_acc': 68.8, 'all_acc': 68.81} | Valid loss: 0.5613073873519897 | Valid acc: {'40X': 73.43, '100X': 69.54, '200X': 71.89, '400X': 64.56, 'avg_acc': 69.86, 'all_acc': 69.97}| Runtime: 1.1 mins
2023-12-04_02-06-06: Epoch: 2 | Train loss: 0.5283205033959569 | Train acc: {'40X': 77.84, '100X': 76.14, '200X': 78.67, '400X': 74.5, 'avg_acc': 76.79, 'all_acc': 76.84} | Valid loss: 0.518330197930336 | Valid acc: {'40X': 80.2, '100X': 81.77, '200X': 83.58, '400X': 77.75, 'avg_acc': 80.82, 'all_acc': 80.91}| Runtime: 1.1 mins
2023-12-04_02-07-16: Epoch: 3 | Train loss: 0.49657151848077774 | Train acc: {'40X': 79.41, '100X': 80.14, '200X': 85.25, '400X': 80.73, 'avg_acc': 81.38, 'all_acc': 81.4} | Valid loss: 0.4903275942802429 | Valid acc: {'40X': 81.45, '100X': 80.82, '200X': 85.07, '400X': 81.87, 'avg_acc': 82.3, 'all_acc': 82.3}| Runtime: 1.2 mins
2023-12-04_02-08-22: Epoch: 4 | Train loss: 0.47688884147115657 | Train acc: {'40X': 80.2, '100X': 78.62, '200X': 86.15, '400X': 83.56, 'avg_acc': 82.13, 'all_acc': 82.07} | Valid loss: 0.47769251942634583 | Valid acc: {'40X': 81.7, '100X': 80.58, '200X': 84.58, '400X': 83.24, 'avg_acc': 82.52, 'all_acc': 82.49}| Runtime: 1.1 mins
2023-12-04_02-09-30: Epoch: 5 | Train loss: 0.4650021469270861 | Train acc: {'40X': 79.93, '100X': 79.82, '200X': 86.73, '400X': 84.86, 'avg_acc': 82.84, 'all_acc': 82.77} | Valid loss: 0.47018305778503416 | Valid acc: {'40X': 81.7, '100X': 80.58, '200X': 85.07, '400X': 82.69, 'avg_acc': 82.51, 'all_acc': 82.49}| Runtime: 1.1 mins
2023-12-04_02-10-38: Epoch: 6 | Train loss: 0.4571066816916337 | Train acc: {'40X': 80.27, '100X': 79.94, '200X': 86.06, '400X': 85.49, 'avg_acc': 82.94, 'all_acc': 82.85} | Valid loss: 0.4649874526262283 | Valid acc: {'40X': 81.7, '100X': 81.29, '200X': 85.07, '400X': 83.79, 'avg_acc': 82.96, 'all_acc': 82.93}| Runtime: 1.1 mins
2023-12-04_02-11-44: Epoch: 7 | Train loss: 0.4496686065921912 | Train acc: {'40X': 80.07, '100X': 79.1, '200X': 86.41, '400X': 85.33, 'avg_acc': 82.73, 'all_acc': 82.64} | Valid loss: 0.45443985939025877 | Valid acc: {'40X': 82.46, '100X': 81.29, '200X': 85.07, '400X': 83.24, 'avg_acc': 83.02, 'all_acc': 83.0}| Runtime: 1.1 mins
2023-12-04_02-12-54: Epoch: 8 | Train loss: 0.44380166502417745 | Train acc: {'40X': 79.8, '100X': 80.58, '200X': 85.9, '400X': 85.43, 'avg_acc': 82.93, 'all_acc': 82.85} | Valid loss: 0.44618182361125946 | Valid acc: {'40X': 81.45, '100X': 80.82, '200X': 84.58, '400X': 83.24, 'avg_acc': 82.52, 'all_acc': 82.49}| Runtime: 1.2 mins
2023-12-04_02-14-02: Epoch: 9 | Train loss: 0.43842731416225433 | Train acc: {'40X': 80.92, '100X': 80.21, '200X': 87.12, '400X': 85.78, 'avg_acc': 83.51, 'all_acc': 83.42} | Valid loss: 0.44271491140127184 | Valid acc: {'40X': 80.95, '100X': 81.06, '200X': 83.58, '400X': 83.52, 'avg_acc': 82.28, 'all_acc': 82.24}| Runtime: 1.1 mins
2023-12-04_02-15-14: Epoch: 10 | Train loss: 0.4332280404664375 | Train acc: {'40X': 80.9, '100X': 80.91, '200X': 86.48, '400X': 85.58, 'avg_acc': 83.47, 'all_acc': 83.4} | Valid loss: 0.4384178775548935 | Valid acc: {'40X': 82.96, '100X': 82.01, '200X': 84.08, '400X': 83.52, 'avg_acc': 83.14, 'all_acc': 83.12}| Runtime: 1.2 mins
2023-12-04_02-15-14: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  69.79  68.70  68.49  68.23    68.80    68.81
1      2  77.84  76.14  78.67  74.50    76.79    76.84
2      3  79.41  80.14  85.25  80.73    81.38    81.40
3      4  80.20  78.62  86.15  83.56    82.13    82.07
4      5  79.93  79.82  86.73  84.86    82.84    82.77
5      6  80.27  79.94  86.06  85.49    82.94    82.85
6      7  80.07  79.10  86.41  85.33    82.73    82.64
7      8  79.80  80.58  85.90  85.43    82.93    82.85
8      9  80.92  80.21  87.12  85.78    83.51    83.42
9     10  80.90  80.91  86.48  85.58    83.47    83.40
2023-12-04_02-15-14: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  73.43  69.54  71.89  64.56    69.86    69.97
1      2  80.20  81.77  83.58  77.75    80.82    80.91
2      3  81.45  80.82  85.07  81.87    82.30    82.30
3      4  81.70  80.58  84.58  83.24    82.52    82.49
4      5  81.70  80.58  85.07  82.69    82.51    82.49
5      6  81.70  81.29  85.07  83.79    82.96    82.93
6      7  82.46  81.29  85.07  83.24    83.02    83.00
7      8  81.45  80.82  84.58  83.24    82.52    82.49
8      9  80.95  81.06  83.58  83.52    82.28    82.24
9     10  82.96  82.01  84.08  83.52    83.14    83.12
2023-12-04_02-15-14: Final test accuracy: {'40X': 81.2, '100X': 76.68, '200X': 87.84, '400X': 85.16, 'avg_acc': 82.72, 'all_acc': 82.62}
