2023-12-04_02-14-47: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 1e-05, 'optimizer': 'adam', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': False, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_02-14-47: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_02-14-47: conv1.bias: torch.Size([32])
2023-12-04_02-14-47: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_02-14-47: conv_layers.0.bias: torch.Size([64])
2023-12-04_02-14-47: conv_layers.2.weight: torch.Size([64, 64, 3, 3])
2023-12-04_02-14-47: conv_layers.2.bias: torch.Size([64])
2023-12-04_02-14-47: linear.weight: torch.Size([2, 3211264])
2023-12-04_02-14-47: linear.bias: torch.Size([2])
2023-12-04_02-14-47: 
Total parameters: 6,478,850;	Trainable: 6,478,850
2023-12-04_02-16-04: Epoch: 1 | Train loss: 0.47058487230458773 | Train acc: {'40X': 78.11, '100X': 79.37, '200X': 82.29, '400X': 80.28, 'avg_acc': 80.01, 'all_acc': 80.0} | Valid loss: 0.38065068870782853 | Valid acc: {'40X': 84.46, '100X': 82.01, '200X': 84.83, '400X': 82.97, 'avg_acc': 83.57, 'all_acc': 83.57}| Runtime: 1.3 mins
2023-12-04_02-17-19: Epoch: 2 | Train loss: 0.32501904570774454 | Train acc: {'40X': 84.77, '100X': 87.23, '200X': 88.14, '400X': 87.16, 'avg_acc': 86.82, 'all_acc': 86.82} | Valid loss: 0.40287020295858383 | Valid acc: {'40X': 84.46, '100X': 80.82, '200X': 83.83, '400X': 78.85, 'avg_acc': 81.99, 'all_acc': 82.05}| Runtime: 1.2 mins
2023-12-04_02-18-50: Epoch: 3 | Train loss: 0.2293326963444014 | Train acc: {'40X': 90.13, '100X': 92.86, '200X': 92.53, '400X': 92.29, 'avg_acc': 91.95, 'all_acc': 91.96} | Valid loss: 0.3436196264624596 | Valid acc: {'40X': 84.71, '100X': 83.93, '200X': 86.57, '400X': 83.79, 'avg_acc': 84.75, 'all_acc': 84.77}| Runtime: 1.5 mins
2023-12-04_02-20-26: Epoch: 4 | Train loss: 0.17515756708343286 | Train acc: {'40X': 92.4, '100X': 95.58, '200X': 95.02, '400X': 93.84, 'avg_acc': 94.21, 'all_acc': 94.24} | Valid loss: 0.3764048521220684 | Valid acc: {'40X': 85.71, '100X': 84.41, '200X': 86.57, '400X': 83.52, 'avg_acc': 85.05, 'all_acc': 85.08}| Runtime: 1.6 mins
2023-12-04_02-21-38: Epoch: 5 | Train loss: 0.12499548240589935 | Train acc: {'40X': 94.56, '100X': 97.59, '200X': 97.51, '400X': 96.7, 'avg_acc': 96.59, 'all_acc': 96.6} | Valid loss: 0.35548613011837005 | Valid acc: {'40X': 86.22, '100X': 83.69, '200X': 85.82, '400X': 82.42, 'avg_acc': 84.54, 'all_acc': 84.58}| Runtime: 1.2 mins
2023-12-04_02-22-49: Epoch: 6 | Train loss: 0.0942761498075482 | Train acc: {'40X': 97.32, '100X': 98.24, '200X': 98.25, '400X': 98.26, 'avg_acc': 98.02, 'all_acc': 98.02} | Valid loss: 0.4885277697443962 | Valid acc: {'40X': 81.2, '100X': 82.01, '200X': 85.07, '400X': 79.12, 'avg_acc': 81.85, 'all_acc': 81.92}| Runtime: 1.2 mins
2023-12-04_02-23-56: Epoch: 7 | Train loss: 0.07313568849821349 | Train acc: {'40X': 98.24, '100X': 99.04, '200X': 98.59, '400X': 99.17, 'avg_acc': 98.76, 'all_acc': 98.75} | Valid loss: 0.3764543431997299 | Valid acc: {'40X': 84.96, '100X': 85.37, '200X': 85.57, '400X': 84.07, 'avg_acc': 84.99, 'all_acc': 85.02}| Runtime: 1.1 mins
2023-12-04_02-25-00: Epoch: 8 | Train loss: 0.05408227471383037 | Train acc: {'40X': 98.83, '100X': 99.44, '200X': 99.33, '400X': 99.27, 'avg_acc': 99.22, 'all_acc': 99.22} | Valid loss: 0.4632924123853445 | Valid acc: {'40X': 83.96, '100X': 83.93, '200X': 87.31, '400X': 80.77, 'avg_acc': 83.99, 'all_acc': 84.07}| Runtime: 1.1 mins
2023-12-04_02-26-07: Epoch: 9 | Train loss: 0.04204725399865089 | Train acc: {'40X': 99.33, '100X': 99.68, '200X': 99.67, '400X': 99.72, 'avg_acc': 99.6, 'all_acc': 99.6} | Valid loss: 0.41213198348879815 | Valid acc: {'40X': 84.46, '100X': 84.89, '200X': 85.82, '400X': 83.79, 'avg_acc': 84.74, 'all_acc': 84.77}| Runtime: 1.1 mins
2023-12-04_02-27-10: Epoch: 10 | Train loss: 0.030207139855200373 | Train acc: {'40X': 99.58, '100X': 99.92, '200X': 99.83, '400X': 99.82, 'avg_acc': 99.79, 'all_acc': 99.79} | Valid loss: 0.45949371248483656 | Valid acc: {'40X': 82.96, '100X': 82.97, '200X': 87.31, '400X': 81.59, 'avg_acc': 83.71, 'all_acc': 83.75}| Runtime: 1.1 mins
2023-12-04_02-27-10: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  78.11  79.37  82.29  80.28    80.01    80.00
1      2  84.77  87.23  88.14  87.16    86.82    86.82
2      3  90.13  92.86  92.53  92.29    91.95    91.96
3      4  92.40  95.58  95.02  93.84    94.21    94.24
4      5  94.56  97.59  97.51  96.70    96.59    96.60
5      6  97.32  98.24  98.25  98.26    98.02    98.02
6      7  98.24  99.04  98.59  99.17    98.76    98.75
7      8  98.83  99.44  99.33  99.27    99.22    99.22
8      9  99.33  99.68  99.67  99.72    99.60    99.60
9     10  99.58  99.92  99.83  99.82    99.79    99.79
2023-12-04_02-27-10: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  84.46  82.01  84.83  82.97    83.57    83.57
1      2  84.46  80.82  83.83  78.85    81.99    82.05
2      3  84.71  83.93  86.57  83.79    84.75    84.77
3      4  85.71  84.41  86.57  83.52    85.05    85.08
4      5  86.22  83.69  85.82  82.42    84.54    84.58
5      6  81.20  82.01  85.07  79.12    81.85    81.92
6      7  84.96  85.37  85.57  84.07    84.99    85.02
7      8  83.96  83.93  87.31  80.77    83.99    84.07
8      9  84.46  84.89  85.82  83.79    84.74    84.77
9     10  82.96  82.97  87.31  81.59    83.71    83.75
2023-12-04_02-27-10: Final test accuracy: {'40X': 83.96, '100X': 83.65, '200X': 91.56, '400X': 85.16, 'avg_acc': 86.08, 'all_acc': 86.09}
