2023-12-04_02-15-15: config: {'n_epochs': 10, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 1e-05, 'optimizer': 'sgd', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:1', 'n_gpus': 1, 'kernel_size': 3, 'model': 'CNN', 'use_pooling': False, 'num_kernel_conv_list': [32, 64, 64]}
2023-12-04_02-15-15: conv1.weight: torch.Size([32, 3, 3, 3])
2023-12-04_02-15-15: conv1.bias: torch.Size([32])
2023-12-04_02-15-15: conv_layers.0.weight: torch.Size([64, 32, 3, 3])
2023-12-04_02-15-15: conv_layers.0.bias: torch.Size([64])
2023-12-04_02-15-15: conv_layers.2.weight: torch.Size([64, 64, 3, 3])
2023-12-04_02-15-15: conv_layers.2.bias: torch.Size([64])
2023-12-04_02-15-15: linear.weight: torch.Size([2, 3211264])
2023-12-04_02-15-15: linear.bias: torch.Size([2])
2023-12-04_02-15-15: 
Total parameters: 6,478,850;	Trainable: 6,478,850
2023-12-04_02-16-31: Epoch: 1 | Train loss: 0.48794407216278285 | Train acc: {'40X': 77.86, '100X': 78.86, '200X': 83.64, '400X': 81.12, 'avg_acc': 80.37, 'all_acc': 80.34} | Valid loss: 0.43265900522470474 | Valid acc: {'40X': 82.46, '100X': 82.97, '200X': 84.58, '400X': 84.62, 'avg_acc': 83.66, 'all_acc': 83.63}| Runtime: 1.3 mins
2023-12-04_02-17-50: Epoch: 2 | Train loss: 0.40997857972979546 | Train acc: {'40X': 82.31, '100X': 82.76, '200X': 86.32, '400X': 86.51, 'avg_acc': 84.48, 'all_acc': 84.42} | Valid loss: 0.408461794257164 | Valid acc: {'40X': 82.46, '100X': 84.17, '200X': 85.57, '400X': 85.44, 'avg_acc': 84.41, 'all_acc': 84.39}| Runtime: 1.3 mins
2023-12-04_02-19-22: Epoch: 3 | Train loss: 0.38377259329364105 | Train acc: {'40X': 83.18, '100X': 82.66, '200X': 87.04, '400X': 87.35, 'avg_acc': 85.06, 'all_acc': 84.99} | Valid loss: 0.39193705171346666 | Valid acc: {'40X': 82.96, '100X': 83.21, '200X': 84.58, '400X': 84.89, 'avg_acc': 83.91, 'all_acc': 83.88}| Runtime: 1.5 mins
2023-12-04_02-20-47: Epoch: 4 | Train loss: 0.3618412334975359 | Train acc: {'40X': 83.01, '100X': 83.88, '200X': 87.36, '400X': 87.9, 'avg_acc': 85.54, 'all_acc': 85.47} | Valid loss: 0.38489003241062164 | Valid acc: {'40X': 82.46, '100X': 83.69, '200X': 85.32, '400X': 85.16, 'avg_acc': 84.16, 'all_acc': 84.13}| Runtime: 1.4 mins
2023-12-04_02-22-02: Epoch: 5 | Train loss: 0.34324408231957537 | Train acc: {'40X': 83.24, '100X': 84.36, '200X': 87.08, '400X': 87.24, 'avg_acc': 85.48, 'all_acc': 85.43} | Valid loss: 0.3743936637043953 | Valid acc: {'40X': 82.96, '100X': 83.21, '200X': 84.83, '400X': 84.34, 'avg_acc': 83.84, 'all_acc': 83.82}| Runtime: 1.3 mins
2023-12-04_02-23-11: Epoch: 6 | Train loss: 0.32483998202794306 | Train acc: {'40X': 84.18, '100X': 85.4, '200X': 88.71, '400X': 87.51, 'avg_acc': 86.45, 'all_acc': 86.42} | Valid loss: 0.3997304996848106 | Valid acc: {'40X': 81.7, '100X': 81.53, '200X': 84.33, '400X': 83.52, 'avg_acc': 82.77, 'all_acc': 82.74}| Runtime: 1.2 mins
2023-12-04_02-24-16: Epoch: 7 | Train loss: 0.31406465283519513 | Train acc: {'40X': 84.35, '100X': 85.85, '200X': 87.99, '400X': 88.53, 'avg_acc': 86.68, 'all_acc': 86.63} | Valid loss: 0.36660382062196734 | Valid acc: {'40X': 82.71, '100X': 82.25, '200X': 84.83, '400X': 83.24, 'avg_acc': 83.26, 'all_acc': 83.25}| Runtime: 1.1 mins
2023-12-04_02-25-19: Epoch: 8 | Train loss: 0.2971834964244752 | Train acc: {'40X': 84.53, '100X': 87.23, '200X': 88.71, '400X': 89.63, 'avg_acc': 87.52, 'all_acc': 87.48} | Valid loss: 0.3809684020280838 | Valid acc: {'40X': 82.96, '100X': 82.73, '200X': 84.58, '400X': 83.24, 'avg_acc': 83.38, 'all_acc': 83.38}| Runtime: 1.1 mins
2023-12-04_02-26-22: Epoch: 9 | Train loss: 0.2868326250463724 | Train acc: {'40X': 85.03, '100X': 87.08, '200X': 89.62, '400X': 89.72, 'avg_acc': 87.86, 'all_acc': 87.82} | Valid loss: 0.3623404812812805 | Valid acc: {'40X': 83.21, '100X': 83.45, '200X': 85.32, '400X': 84.62, 'avg_acc': 84.15, 'all_acc': 84.13}| Runtime: 1.1 mins
2023-12-04_02-27-27: Epoch: 10 | Train loss: 0.27364449288595366 | Train acc: {'40X': 86.25, '100X': 88.19, '200X': 89.81, '400X': 90.38, 'avg_acc': 88.66, 'all_acc': 88.62} | Valid loss: 0.3545640075206757 | Valid acc: {'40X': 83.46, '100X': 84.65, '200X': 87.31, '400X': 84.62, 'avg_acc': 85.01, 'all_acc': 85.02}| Runtime: 1.1 mins
2023-12-04_02-27-27: Train summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  77.86  78.86  83.64  81.12    80.37    80.34
1      2  82.31  82.76  86.32  86.51    84.48    84.42
2      3  83.18  82.66  87.04  87.35    85.06    84.99
3      4  83.01  83.88  87.36  87.90    85.54    85.47
4      5  83.24  84.36  87.08  87.24    85.48    85.43
5      6  84.18  85.40  88.71  87.51    86.45    86.42
6      7  84.35  85.85  87.99  88.53    86.68    86.63
7      8  84.53  87.23  88.71  89.63    87.52    87.48
8      9  85.03  87.08  89.62  89.72    87.86    87.82
9     10  86.25  88.19  89.81  90.38    88.66    88.62
2023-12-04_02-27-27: Eval summary:    epoch    40X   100X   200X   400X  avg_acc  all_acc
0      1  82.46  82.97  84.58  84.62    83.66    83.63
1      2  82.46  84.17  85.57  85.44    84.41    84.39
2      3  82.96  83.21  84.58  84.89    83.91    83.88
3      4  82.46  83.69  85.32  85.16    84.16    84.13
4      5  82.96  83.21  84.83  84.34    83.84    83.82
5      6  81.70  81.53  84.33  83.52    82.77    82.74
6      7  82.71  82.25  84.83  83.24    83.26    83.25
7      8  82.96  82.73  84.58  83.24    83.38    83.38
8      9  83.21  83.45  85.32  84.62    84.15    84.13
9     10  83.46  84.65  87.31  84.62    85.01    85.02
2023-12-04_02-27-27: Final test accuracy: {'40X': 82.46, '100X': 82.93, '200X': 89.33, '400X': 87.36, 'avg_acc': 85.52, 'all_acc': 85.46}
