2023-12-03_21-52-25: config: {'n_epochs': 20, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.0001, 'optimizer': 'adam', 'momentum': 0.9, 'weight_decay': 0.001, 'device': 'cuda:0', 'n_gpus': 1, 'model': 'MLP', 'h_dim_list': [80, 50, 40]}
2023-12-03_21-52-26: layers.0.weight: torch.Size([80, 150528])
2023-12-03_21-52-26: layers.0.bias: torch.Size([80])
2023-12-03_21-52-26: layers.2.weight: torch.Size([50, 80])
2023-12-03_21-52-26: layers.2.bias: torch.Size([50])
2023-12-03_21-52-26: layers.4.weight: torch.Size([40, 50])
2023-12-03_21-52-26: layers.4.bias: torch.Size([40])
2023-12-03_21-52-26: layers.6.weight: torch.Size([2, 40])
2023-12-03_21-52-26: layers.6.bias: torch.Size([2])
2023-12-03_21-52-26: 
Total parameters: 12,048,492;	Trainable: 12,048,492
2023-12-03_21-53-54: Epoch: 1 | Train loss: 30.90735997863718 | Train acc: {'40X': 66.28, '100X': 69.87, '200X': 70.04, '400X': 68.84, 'avg_acc': 68.76, 'all_acc': 68.77} | Valid loss: 108.58749694824219 | Valid acc: {'40X': 32.83, '100X': 34.77, '200X': 35.07, '400X': 41.21, 'avg_acc': 35.97, 'all_acc': 35.84}| Runtime: 1.5 mins
2023-12-03_21-55-24: Epoch: 2 | Train loss: 25.434920040336817 | Train acc: {'40X': 68.76, '100X': 71.43, '200X': 74.19, '400X': 72.69, 'avg_acc': 71.77, 'all_acc': 71.75} | Valid loss: 21.008519134521485 | Valid acc: {'40X': 76.19, '100X': 75.78, '200X': 80.85, '400X': 73.63, 'avg_acc': 76.61, 'all_acc': 76.68}| Runtime: 1.5 mins
2023-12-03_21-56-54: Epoch: 3 | Train loss: 10.980191639045605 | Train acc: {'40X': 69.46, '100X': 74.72, '200X': 78.74, '400X': 76.72, 'avg_acc': 74.91, 'all_acc': 74.87} | Valid loss: 24.69248146057129 | Valid acc: {'40X': 69.67, '100X': 69.3, '200X': 69.15, '400X': 64.56, 'avg_acc': 68.17, 'all_acc': 68.27}| Runtime: 1.5 mins
2023-12-03_21-58-25: Epoch: 4 | Train loss: 13.89280656060657 | Train acc: {'40X': 71.08, '100X': 75.0, '200X': 76.8, '400X': 75.55, 'avg_acc': 74.61, 'all_acc': 74.6} | Valid loss: 6.054724252223968 | Valid acc: {'40X': 77.19, '100X': 77.94, '200X': 80.1, '400X': 71.7, 'avg_acc': 76.73, 'all_acc': 76.86}| Runtime: 1.5 mins
2023-12-03_21-59-56: Epoch: 5 | Train loss: 11.924449359142123 | Train acc: {'40X': 74.43, '100X': 77.53, '200X': 78.04, '400X': 78.81, 'avg_acc': 77.2, 'all_acc': 77.17} | Valid loss: 14.667255997657776 | Valid acc: {'40X': 71.18, '100X': 72.66, '200X': 74.38, '400X': 70.05, 'avg_acc': 72.07, 'all_acc': 72.12}| Runtime: 1.5 mins
2023-12-03_22-01-28: Epoch: 6 | Train loss: 6.798826131777858 | Train acc: {'40X': 78.95, '100X': 82.02, '200X': 80.58, '400X': 80.79, 'avg_acc': 80.59, 'all_acc': 80.6} | Valid loss: 7.686656284332275 | Valid acc: {'40X': 80.7, '100X': 79.86, '200X': 81.34, '400X': 76.1, 'avg_acc': 79.5, 'all_acc': 79.58}| Runtime: 1.5 mins
2023-12-03_22-02-58: Epoch: 7 | Train loss: 13.330117760679206 | Train acc: {'40X': 73.72, '100X': 77.75, '200X': 77.46, '400X': 79.8, 'avg_acc': 77.18, 'all_acc': 77.13} | Valid loss: 6.471906158924103 | Valid acc: {'40X': 78.7, '100X': 80.82, '200X': 80.35, '400X': 75.0, 'avg_acc': 78.72, 'all_acc': 78.82}| Runtime: 1.5 mins
2023-12-03_22-04-29: Epoch: 8 | Train loss: 7.290005951294694 | Train acc: {'40X': 76.8, '100X': 80.66, '200X': 81.43, '400X': 81.28, 'avg_acc': 80.04, 'all_acc': 80.03} | Valid loss: 12.150728740692138 | Valid acc: {'40X': 71.43, '100X': 71.7, '200X': 75.87, '400X': 67.86, 'avg_acc': 71.72, 'all_acc': 71.81}| Runtime: 1.5 mins
2023-12-03_22-06-00: Epoch: 9 | Train loss: 5.737447147589567 | Train acc: {'40X': 80.74, '100X': 82.73, '200X': 84.01, '400X': 80.73, 'avg_acc': 82.05, 'all_acc': 82.09} | Valid loss: 13.917635190486909 | Valid acc: {'40X': 75.19, '100X': 75.78, '200X': 80.6, '400X': 73.9, 'avg_acc': 76.37, 'all_acc': 76.42}| Runtime: 1.5 mins
2023-12-03_22-07-31: Epoch: 10 | Train loss: 8.08431605690763 | Train acc: {'40X': 77.51, '100X': 80.42, '200X': 81.01, '400X': 82.81, 'avg_acc': 80.44, 'all_acc': 80.38} | Valid loss: 13.913497111797334 | Valid acc: {'40X': 76.69, '100X': 77.7, '200X': 81.59, '400X': 76.1, 'avg_acc': 78.02, 'all_acc': 78.07}| Runtime: 1.5 mins
2023-12-03_22-09-02: Epoch: 11 | Train loss: 6.300960633935273 | Train acc: {'40X': 78.74, '100X': 82.13, '200X': 84.48, '400X': 80.88, 'avg_acc': 81.56, 'all_acc': 81.59} | Valid loss: 6.471345863342285 | Valid acc: {'40X': 82.46, '100X': 81.53, '200X': 82.09, '400X': 77.47, 'avg_acc': 80.89, 'all_acc': 80.97}| Runtime: 1.5 mins
2023-12-03_22-10-30: Epoch: 12 | Train loss: 2.3569520839323435 | Train acc: {'40X': 82.5, '100X': 87.53, '200X': 88.49, '400X': 86.43, 'avg_acc': 86.24, 'all_acc': 86.25} | Valid loss: 20.55332127571106 | Valid acc: {'40X': 69.17, '100X': 69.3, '200X': 69.4, '400X': 65.11, 'avg_acc': 68.24, 'all_acc': 68.33}| Runtime: 1.5 mins
2023-12-03_22-11-59: Epoch: 13 | Train loss: 5.28433229711747 | Train acc: {'40X': 77.39, '100X': 81.29, '200X': 83.25, '400X': 83.59, 'avg_acc': 81.38, 'all_acc': 81.33} | Valid loss: 7.359086735248566 | Valid acc: {'40X': 80.7, '100X': 81.29, '200X': 82.59, '400X': 78.02, 'avg_acc': 80.65, 'all_acc': 80.72}| Runtime: 1.5 mins
2023-12-03_22-13-31: Epoch: 14 | Train loss: 1.64663896084564 | Train acc: {'40X': 88.21, '100X': 90.13, '200X': 90.96, '400X': 88.88, 'avg_acc': 89.54, 'all_acc': 89.57} | Valid loss: 7.432199354171753 | Valid acc: {'40X': 76.69, '100X': 77.22, '200X': 82.34, '400X': 73.08, 'avg_acc': 77.33, 'all_acc': 77.43}| Runtime: 1.5 mins
2023-12-03_22-15-00: Epoch: 15 | Train loss: 3.937425219031374 | Train acc: {'40X': 79.5, '100X': 84.27, '200X': 85.16, '400X': 83.84, 'avg_acc': 83.19, 'all_acc': 83.19} | Valid loss: 8.725034868717193 | Valid acc: {'40X': 78.45, '100X': 79.86, '200X': 83.33, '400X': 78.3, 'avg_acc': 79.98, 'all_acc': 80.03}| Runtime: 1.5 mins
2023-12-03_22-16-30: Epoch: 16 | Train loss: 2.994918342621728 | Train acc: {'40X': 78.91, '100X': 84.57, '200X': 84.33, '400X': 84.51, 'avg_acc': 83.08, 'all_acc': 83.07} | Valid loss: 4.252123470306397 | Valid acc: {'40X': 76.44, '100X': 81.06, '200X': 79.1, '400X': 77.47, 'avg_acc': 78.52, 'all_acc': 78.57}| Runtime: 1.5 mins
2023-12-03_22-17-59: Epoch: 17 | Train loss: 1.845036670106335 | Train acc: {'40X': 84.44, '100X': 88.61, '200X': 87.28, '400X': 87.17, 'avg_acc': 86.88, 'all_acc': 86.89} | Valid loss: 5.630301206111908 | Valid acc: {'40X': 72.93, '100X': 74.1, '200X': 79.6, '400X': 69.23, 'avg_acc': 73.96, 'all_acc': 74.08}| Runtime: 1.5 mins
2023-12-03_22-19-29: Epoch: 18 | Train loss: 1.0200886144335848 | Train acc: {'40X': 87.93, '100X': 92.38, '200X': 91.47, '400X': 91.01, 'avg_acc': 90.7, 'all_acc': 90.71} | Valid loss: 8.029816069602965 | Valid acc: {'40X': 71.43, '100X': 73.38, '200X': 79.35, '400X': 71.98, 'avg_acc': 74.04, 'all_acc': 74.08}| Runtime: 1.5 mins
2023-12-03_22-20-57: Epoch: 19 | Train loss: 1.1183040157813617 | Train acc: {'40X': 88.8, '100X': 91.33, '200X': 91.2, '400X': 90.92, 'avg_acc': 90.56, 'all_acc': 90.56} | Valid loss: 3.3358990067243575 | Valid acc: {'40X': 77.94, '100X': 80.34, '200X': 79.35, '400X': 76.92, 'avg_acc': 78.64, 'all_acc': 78.7}| Runtime: 1.5 mins
2023-12-03_22-22-27: Epoch: 20 | Train loss: 0.852962839472184 | Train acc: {'40X': 88.54, '100X': 92.62, '200X': 91.02, '400X': 89.92, 'avg_acc': 90.52, 'all_acc': 90.56} | Valid loss: 3.6168842285871508 | Valid acc: {'40X': 73.68, '100X': 75.54, '200X': 76.62, '400X': 74.18, 'avg_acc': 75.01, 'all_acc': 75.03}| Runtime: 1.5 mins
2023-12-03_22-22-27: Train summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  66.28  69.87  70.04  68.84    68.76    68.77
1       2  68.76  71.43  74.19  72.69    71.77    71.75
2       3  69.46  74.72  78.74  76.72    74.91    74.87
3       4  71.08  75.00  76.80  75.55    74.61    74.60
4       5  74.43  77.53  78.04  78.81    77.20    77.17
5       6  78.95  82.02  80.58  80.79    80.59    80.60
6       7  73.72  77.75  77.46  79.80    77.18    77.13
7       8  76.80  80.66  81.43  81.28    80.04    80.03
8       9  80.74  82.73  84.01  80.73    82.05    82.09
9      10  77.51  80.42  81.01  82.81    80.44    80.38
10     11  78.74  82.13  84.48  80.88    81.56    81.59
11     12  82.50  87.53  88.49  86.43    86.24    86.25
12     13  77.39  81.29  83.25  83.59    81.38    81.33
13     14  88.21  90.13  90.96  88.88    89.54    89.57
14     15  79.50  84.27  85.16  83.84    83.19    83.19
15     16  78.91  84.57  84.33  84.51    83.08    83.07
16     17  84.44  88.61  87.28  87.17    86.88    86.89
17     18  87.93  92.38  91.47  91.01    90.70    90.71
18     19  88.80  91.33  91.20  90.92    90.56    90.56
19     20  88.54  92.62  91.02  89.92    90.52    90.56
2023-12-03_22-22-27: Eval summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  32.83  34.77  35.07  41.21    35.97    35.84
1       2  76.19  75.78  80.85  73.63    76.61    76.68
2       3  69.67  69.30  69.15  64.56    68.17    68.27
3       4  77.19  77.94  80.10  71.70    76.73    76.86
4       5  71.18  72.66  74.38  70.05    72.07    72.12
5       6  80.70  79.86  81.34  76.10    79.50    79.58
6       7  78.70  80.82  80.35  75.00    78.72    78.82
7       8  71.43  71.70  75.87  67.86    71.72    71.81
8       9  75.19  75.78  80.60  73.90    76.37    76.42
9      10  76.69  77.70  81.59  76.10    78.02    78.07
10     11  82.46  81.53  82.09  77.47    80.89    80.97
11     12  69.17  69.30  69.40  65.11    68.24    68.33
12     13  80.70  81.29  82.59  78.02    80.65    80.72
13     14  76.69  77.22  82.34  73.08    77.33    77.43
14     15  78.45  79.86  83.33  78.30    79.98    80.03
15     16  76.44  81.06  79.10  77.47    78.52    78.57
16     17  72.93  74.10  79.60  69.23    73.96    74.08
17     18  71.43  73.38  79.35  71.98    74.04    74.08
18     19  77.94  80.34  79.35  76.92    78.64    78.70
19     20  73.68  75.54  76.62  74.18    75.01    75.03
2023-12-03_22-22-27: Final test accuracy: {'40X': 80.7, '100X': 79.81, '200X': 84.86, '400X': 79.67, 'avg_acc': 81.26, 'all_acc': 81.29}
