2023-12-04_00-01-34: config: {'n_epochs': 20, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.0001, 'optimizer': 'sgd', 'momentum': 0.9, 'weight_decay': 5e-05, 'device': 'cuda:0', 'n_gpus': 1, 'model': 'MLP', 'h_dim_list': [80, 50, 40]}
2023-12-04_00-01-34: layers.0.weight: torch.Size([80, 150528])
2023-12-04_00-01-34: layers.0.bias: torch.Size([80])
2023-12-04_00-01-34: layers.2.weight: torch.Size([50, 80])
2023-12-04_00-01-34: layers.2.bias: torch.Size([50])
2023-12-04_00-01-34: layers.4.weight: torch.Size([40, 50])
2023-12-04_00-01-34: layers.4.bias: torch.Size([40])
2023-12-04_00-01-34: layers.6.weight: torch.Size([2, 40])
2023-12-04_00-01-34: layers.6.bias: torch.Size([2])
2023-12-04_00-01-34: 
Total parameters: 12,048,492;	Trainable: 12,048,492
2023-12-04_00-02-28: Epoch: 1 | Train loss: 0.5233807535590352 | Train acc: {'40X': 75.56, '100X': 79.04, '200X': 82.1, '400X': 79.52, 'avg_acc': 79.06, 'all_acc': 79.05} | Valid loss: 0.4645719426870346 | Valid acc: {'40X': 77.69, '100X': 81.77, '200X': 82.34, '400X': 82.69, 'avg_acc': 81.12, 'all_acc': 81.1}| Runtime: 0.9 mins
2023-12-04_00-03-22: Epoch: 2 | Train loss: 0.4289019870999697 | Train acc: {'40X': 78.31, '100X': 82.88, '200X': 85.25, '400X': 84.69, 'avg_acc': 82.78, 'all_acc': 82.75} | Valid loss: 0.44357293009758 | Valid acc: {'40X': 80.2, '100X': 80.34, '200X': 85.32, '400X': 80.77, 'avg_acc': 81.66, 'all_acc': 81.67}| Runtime: 0.9 mins
2023-12-04_00-04-17: Epoch: 3 | Train loss: 0.3764248391663706 | Train acc: {'40X': 80.92, '100X': 84.34, '200X': 86.91, '400X': 87.14, 'avg_acc': 84.83, 'all_acc': 84.78} | Valid loss: 0.40118647038936617 | Valid acc: {'40X': 80.95, '100X': 84.89, '200X': 83.08, '400X': 82.97, 'avg_acc': 82.97, 'all_acc': 83.0}| Runtime: 0.9 mins
2023-12-04_00-05-12: Epoch: 4 | Train loss: 0.33378268395726746 | Train acc: {'40X': 82.56, '100X': 86.44, '200X': 88.24, '400X': 88.99, 'avg_acc': 86.56, 'all_acc': 86.51} | Valid loss: 0.38923552215099333 | Valid acc: {'40X': 82.21, '100X': 84.17, '200X': 84.08, '400X': 82.97, 'avg_acc': 83.36, 'all_acc': 83.38}| Runtime: 0.9 mins
2023-12-04_00-06-06: Epoch: 5 | Train loss: 0.2952971851100793 | Train acc: {'40X': 84.85, '100X': 87.73, '200X': 89.37, '400X': 88.81, 'avg_acc': 87.69, 'all_acc': 87.67} | Valid loss: 0.38220729887485505 | Valid acc: {'40X': 82.96, '100X': 82.01, '200X': 85.57, '400X': 82.42, 'avg_acc': 83.24, 'all_acc': 83.25}| Runtime: 0.9 mins
2023-12-04_00-07-06: Epoch: 6 | Train loss: 0.2594557828899171 | Train acc: {'40X': 86.84, '100X': 90.3, '200X': 91.87, '400X': 90.0, 'avg_acc': 89.75, 'all_acc': 89.76} | Valid loss: 0.3787390911579132 | Valid acc: {'40X': 82.46, '100X': 83.21, '200X': 85.07, '400X': 81.32, 'avg_acc': 83.01, 'all_acc': 83.06}| Runtime: 1.0 mins
2023-12-04_00-08-05: Epoch: 7 | Train loss: 0.22436308377497904 | Train acc: {'40X': 88.79, '100X': 92.7, '200X': 93.36, '400X': 92.11, 'avg_acc': 91.74, 'all_acc': 91.74} | Valid loss: 0.3881323155760765 | Valid acc: {'40X': 83.71, '100X': 82.73, '200X': 84.83, '400X': 79.95, 'avg_acc': 82.8, 'all_acc': 82.87}| Runtime: 1.0 mins
2023-12-04_00-09-08: Epoch: 8 | Train loss: 0.18941451936356118 | Train acc: {'40X': 90.88, '100X': 94.39, '200X': 95.59, '400X': 94.41, 'avg_acc': 93.82, 'all_acc': 93.81} | Valid loss: 0.38732940435409546 | Valid acc: {'40X': 84.21, '100X': 83.93, '200X': 86.07, '400X': 80.77, 'avg_acc': 83.74, 'all_acc': 83.82}| Runtime: 1.1 mins
2023-12-04_00-10-11: Epoch: 9 | Train loss: 0.15736121206066092 | Train acc: {'40X': 92.81, '100X': 95.66, '200X': 96.77, '400X': 96.42, 'avg_acc': 95.42, 'all_acc': 95.4} | Valid loss: 0.3920634987950325 | Valid acc: {'40X': 84.21, '100X': 83.93, '200X': 85.07, '400X': 79.4, 'avg_acc': 83.15, 'all_acc': 83.25}| Runtime: 1.0 mins
2023-12-04_00-11-21: Epoch: 10 | Train loss: 0.12898056025339946 | Train acc: {'40X': 94.48, '100X': 97.35, '200X': 97.84, '400X': 97.43, 'avg_acc': 96.78, 'all_acc': 96.77} | Valid loss: 0.40629902452230454 | Valid acc: {'40X': 84.46, '100X': 82.01, '200X': 84.08, '400X': 79.67, 'avg_acc': 82.56, 'all_acc': 82.62}| Runtime: 1.2 mins
2023-12-04_00-12-34: Epoch: 11 | Train loss: 0.10663880226579872 | Train acc: {'40X': 95.56, '100X': 97.91, '200X': 98.43, '400X': 98.35, 'avg_acc': 97.56, 'all_acc': 97.55} | Valid loss: 0.4153013452887535 | Valid acc: {'40X': 84.21, '100X': 84.17, '200X': 84.58, '400X': 79.95, 'avg_acc': 83.23, 'all_acc': 83.31}| Runtime: 1.2 mins
2023-12-04_00-13-50: Epoch: 12 | Train loss: 0.08469658939016832 | Train acc: {'40X': 97.15, '100X': 98.88, '200X': 99.33, '400X': 99.08, 'avg_acc': 98.61, 'all_acc': 98.61} | Valid loss: 0.43767830938100816 | Valid acc: {'40X': 84.46, '100X': 83.69, '200X': 84.08, '400X': 79.12, 'avg_acc': 82.84, 'all_acc': 82.93}| Runtime: 1.3 mins
2023-12-04_00-15-04: Epoch: 13 | Train loss: 0.06867568848050527 | Train acc: {'40X': 97.91, '100X': 99.28, '200X': 99.59, '400X': 99.63, 'avg_acc': 99.1, 'all_acc': 99.09} | Valid loss: 0.4631418219208717 | Valid acc: {'40X': 84.96, '100X': 82.25, '200X': 84.33, '400X': 80.49, 'avg_acc': 83.01, 'all_acc': 83.06}| Runtime: 1.2 mins
2023-12-04_00-16-19: Epoch: 14 | Train loss: 0.05542296484565815 | Train acc: {'40X': 98.24, '100X': 99.68, '200X': 99.67, '400X': 99.91, 'avg_acc': 99.38, 'all_acc': 99.37} | Valid loss: 0.45509592205286026 | Valid acc: {'40X': 84.21, '100X': 83.21, '200X': 84.83, '400X': 81.04, 'avg_acc': 83.32, 'all_acc': 83.38}| Runtime: 1.2 mins
2023-12-04_00-17-35: Epoch: 15 | Train loss: 0.044642077872177235 | Train acc: {'40X': 98.99, '100X': 99.76, '200X': 99.83, '400X': 99.91, 'avg_acc': 99.62, 'all_acc': 99.62} | Valid loss: 0.47567204028368 | Valid acc: {'40X': 84.96, '100X': 83.69, '200X': 85.07, '400X': 80.77, 'avg_acc': 83.62, 'all_acc': 83.69}| Runtime: 1.3 mins
2023-12-04_00-18-50: Epoch: 16 | Train loss: 0.0363958234382743 | Train acc: {'40X': 99.25, '100X': 100.0, '200X': 99.92, '400X': 100.0, 'avg_acc': 99.79, 'all_acc': 99.79} | Valid loss: 0.4956152315437794 | Valid acc: {'40X': 84.71, '100X': 83.69, '200X': 84.08, '400X': 80.49, 'avg_acc': 83.24, 'all_acc': 83.31}| Runtime: 1.3 mins
2023-12-04_00-20-04: Epoch: 17 | Train loss: 0.030466425761177734 | Train acc: {'40X': 99.5, '100X': 100.0, '200X': 100.0, '400X': 99.91, 'avg_acc': 99.85, 'all_acc': 99.85} | Valid loss: 0.5058772730827331 | Valid acc: {'40X': 84.71, '100X': 84.17, '200X': 84.58, '400X': 78.3, 'avg_acc': 82.94, 'all_acc': 83.06}| Runtime: 1.2 mins
2023-12-04_00-21-20: Epoch: 18 | Train loss: 0.02574409170994988 | Train acc: {'40X': 99.66, '100X': 100.0, '200X': 100.0, '400X': 100.0, 'avg_acc': 99.92, 'all_acc': 99.92} | Valid loss: 0.5172616231441498 | Valid acc: {'40X': 84.71, '100X': 84.17, '200X': 84.08, '400X': 78.85, 'avg_acc': 82.95, 'all_acc': 83.06}| Runtime: 1.3 mins
2023-12-04_00-22-38: Epoch: 19 | Train loss: 0.022154938114958035 | Train acc: {'40X': 99.83, '100X': 100.0, '200X': 100.0, '400X': 100.0, 'avg_acc': 99.96, 'all_acc': 99.96} | Valid loss: 0.529983346760273 | Valid acc: {'40X': 85.21, '100X': 84.65, '200X': 84.83, '400X': 79.67, 'avg_acc': 83.59, 'all_acc': 83.69}| Runtime: 1.3 mins
2023-12-04_00-23-53: Epoch: 20 | Train loss: 0.019015744492109563 | Train acc: {'40X': 100.0, '100X': 100.0, '200X': 100.0, '400X': 100.0, 'avg_acc': 100.0, 'all_acc': 100.0} | Valid loss: 0.5351589642465114 | Valid acc: {'40X': 85.21, '100X': 83.69, '200X': 84.08, '400X': 80.49, 'avg_acc': 83.37, 'all_acc': 83.44}| Runtime: 1.3 mins
2023-12-04_00-23-53: Train summary:     epoch     40X    100X    200X    400X  avg_acc  all_acc
0       1   75.56   79.04   82.10   79.52    79.06    79.05
1       2   78.31   82.88   85.25   84.69    82.78    82.75
2       3   80.92   84.34   86.91   87.14    84.83    84.78
3       4   82.56   86.44   88.24   88.99    86.56    86.51
4       5   84.85   87.73   89.37   88.81    87.69    87.67
5       6   86.84   90.30   91.87   90.00    89.75    89.76
6       7   88.79   92.70   93.36   92.11    91.74    91.74
7       8   90.88   94.39   95.59   94.41    93.82    93.81
8       9   92.81   95.66   96.77   96.42    95.42    95.40
9      10   94.48   97.35   97.84   97.43    96.78    96.77
10     11   95.56   97.91   98.43   98.35    97.56    97.55
11     12   97.15   98.88   99.33   99.08    98.61    98.61
12     13   97.91   99.28   99.59   99.63    99.10    99.09
13     14   98.24   99.68   99.67   99.91    99.38    99.37
14     15   98.99   99.76   99.83   99.91    99.62    99.62
15     16   99.25  100.00   99.92  100.00    99.79    99.79
16     17   99.50  100.00  100.00   99.91    99.85    99.85
17     18   99.66  100.00  100.00  100.00    99.92    99.92
18     19   99.83  100.00  100.00  100.00    99.96    99.96
19     20  100.00  100.00  100.00  100.00   100.00   100.00
2023-12-04_00-23-53: Eval summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  77.69  81.77  82.34  82.69    81.12    81.10
1       2  80.20  80.34  85.32  80.77    81.66    81.67
2       3  80.95  84.89  83.08  82.97    82.97    83.00
3       4  82.21  84.17  84.08  82.97    83.36    83.38
4       5  82.96  82.01  85.57  82.42    83.24    83.25
5       6  82.46  83.21  85.07  81.32    83.01    83.06
6       7  83.71  82.73  84.83  79.95    82.80    82.87
7       8  84.21  83.93  86.07  80.77    83.74    83.82
8       9  84.21  83.93  85.07  79.40    83.15    83.25
9      10  84.46  82.01  84.08  79.67    82.56    82.62
10     11  84.21  84.17  84.58  79.95    83.23    83.31
11     12  84.46  83.69  84.08  79.12    82.84    82.93
12     13  84.96  82.25  84.33  80.49    83.01    83.06
13     14  84.21  83.21  84.83  81.04    83.32    83.38
14     15  84.96  83.69  85.07  80.77    83.62    83.69
15     16  84.71  83.69  84.08  80.49    83.24    83.31
16     17  84.71  84.17  84.58  78.30    82.94    83.06
17     18  84.71  84.17  84.08  78.85    82.95    83.06
18     19  85.21  84.65  84.83  79.67    83.59    83.69
19     20  85.21  83.69  84.08  80.49    83.37    83.44
2023-12-04_00-23-53: Final test accuracy: {'40X': 82.21, '100X': 78.85, '200X': 89.33, '400X': 85.44, 'avg_acc': 83.96, 'all_acc': 83.88}
