2023-12-04_00-05-48: config: {'n_epochs': 20, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 0.0001, 'optimizer': 'sgd', 'momentum': 0.9, 'weight_decay': 5e-05, 'device': 'cuda:0', 'n_gpus': 1, 'model': 'MLP', 'h_dim_list': [80, 50, 50, 40, 25]}
2023-12-04_00-05-48: layers.0.weight: torch.Size([80, 150528])
2023-12-04_00-05-48: layers.0.bias: torch.Size([80])
2023-12-04_00-05-48: layers.2.weight: torch.Size([50, 80])
2023-12-04_00-05-48: layers.2.bias: torch.Size([50])
2023-12-04_00-05-48: layers.4.weight: torch.Size([50, 50])
2023-12-04_00-05-48: layers.4.bias: torch.Size([50])
2023-12-04_00-05-48: layers.6.weight: torch.Size([40, 50])
2023-12-04_00-05-48: layers.6.bias: torch.Size([40])
2023-12-04_00-05-48: layers.8.weight: torch.Size([25, 40])
2023-12-04_00-05-48: layers.8.bias: torch.Size([25])
2023-12-04_00-05-48: layers.10.weight: torch.Size([2, 25])
2023-12-04_00-05-48: layers.10.bias: torch.Size([2])
2023-12-04_00-05-48: 
Total parameters: 12,052,037;	Trainable: 12,052,037
2023-12-04_00-06-48: Epoch: 1 | Train loss: 0.6879918313509709 | Train acc: {'40X': 50.96, '100X': 51.85, '200X': 57.25, '400X': 54.69, 'avg_acc': 53.69, 'all_acc': 53.65} | Valid loss: 0.6659819328784943 | Valid acc: {'40X': 78.7, '100X': 78.18, '200X': 82.09, '400X': 78.57, 'avg_acc': 79.38, 'all_acc': 79.39}| Runtime: 1.0 mins
2023-12-04_00-07-50: Epoch: 2 | Train loss: 0.6414409642283981 | Train acc: {'40X': 79.56, '100X': 80.67, '200X': 84.42, '400X': 81.62, 'avg_acc': 81.57, 'all_acc': 81.57} | Valid loss: 0.6162218713760376 | Valid acc: {'40X': 78.45, '100X': 79.86, '200X': 83.33, '400X': 78.3, 'avg_acc': 79.98, 'all_acc': 80.03}| Runtime: 1.0 mins
2023-12-04_00-08-53: Epoch: 3 | Train loss: 0.5898068402264569 | Train acc: {'40X': 79.31, '100X': 81.2, '200X': 84.59, '400X': 83.12, 'avg_acc': 82.06, 'all_acc': 82.03} | Valid loss: 0.5701357555389405 | Valid acc: {'40X': 78.2, '100X': 80.1, '200X': 83.58, '400X': 78.3, 'avg_acc': 80.04, 'all_acc': 80.09}| Runtime: 1.0 mins
2023-12-04_00-09-56: Epoch: 4 | Train loss: 0.5492676305207046 | Train acc: {'40X': 80.15, '100X': 80.83, '200X': 84.67, '400X': 82.72, 'avg_acc': 82.09, 'all_acc': 82.07} | Valid loss: 0.5398474562168122 | Valid acc: {'40X': 79.45, '100X': 80.58, '200X': 84.83, '400X': 77.47, 'avg_acc': 80.58, 'all_acc': 80.66}| Runtime: 1.1 mins
2023-12-04_00-11-06: Epoch: 5 | Train loss: 0.5227564776668677 | Train acc: {'40X': 80.0, '100X': 80.77, '200X': 86.0, '400X': 81.58, 'avg_acc': 82.09, 'all_acc': 82.09} | Valid loss: 0.5203552013635635 | Valid acc: {'40X': 79.45, '100X': 79.62, '200X': 83.58, '400X': 79.95, 'avg_acc': 80.65, 'all_acc': 80.66}| Runtime: 1.2 mins
2023-12-04_00-12-19: Epoch: 6 | Train loss: 0.5023378294867438 | Train acc: {'40X': 79.18, '100X': 80.79, '200X': 85.56, '400X': 82.22, 'avg_acc': 81.94, 'all_acc': 81.93} | Valid loss: 0.5010692262649536 | Valid acc: {'40X': 79.45, '100X': 79.62, '200X': 83.83, '400X': 81.04, 'avg_acc': 80.98, 'all_acc': 80.97}| Runtime: 1.2 mins
2023-12-04_00-13-33: Epoch: 7 | Train loss: 0.4834417138953467 | Train acc: {'40X': 77.82, '100X': 79.82, '200X': 84.76, '400X': 81.47, 'avg_acc': 80.97, 'all_acc': 80.95} | Valid loss: 0.4888817870616913 | Valid acc: {'40X': 78.7, '100X': 79.38, '200X': 83.83, '400X': 80.77, 'avg_acc': 80.67, 'all_acc': 80.66}| Runtime: 1.2 mins
2023-12-04_00-14-49: Epoch: 8 | Train loss: 0.46653843127392436 | Train acc: {'40X': 78.06, '100X': 79.84, '200X': 84.59, '400X': 81.74, 'avg_acc': 81.06, 'all_acc': 81.04} | Valid loss: 0.472427726984024 | Valid acc: {'40X': 78.7, '100X': 80.34, '200X': 83.83, '400X': 80.77, 'avg_acc': 80.91, 'all_acc': 80.91}| Runtime: 1.3 mins
2023-12-04_00-16-06: Epoch: 9 | Train loss: 0.4525680143285442 | Train acc: {'40X': 77.91, '100X': 80.16, '200X': 84.69, '400X': 81.89, 'avg_acc': 81.16, 'all_acc': 81.14} | Valid loss: 0.46274014830589294 | Valid acc: {'40X': 78.95, '100X': 80.58, '200X': 83.33, '400X': 81.59, 'avg_acc': 81.11, 'all_acc': 81.1}| Runtime: 1.3 mins
2023-12-04_00-17-21: Epoch: 10 | Train loss: 0.4386300164702776 | Train acc: {'40X': 78.68, '100X': 81.35, '200X': 85.15, '400X': 83.13, 'avg_acc': 82.08, 'all_acc': 82.05} | Valid loss: 0.4531865721940994 | Valid acc: {'40X': 80.45, '100X': 80.82, '200X': 83.33, '400X': 81.87, 'avg_acc': 81.62, 'all_acc': 81.61}| Runtime: 1.2 mins
2023-12-04_00-18-36: Epoch: 11 | Train loss: 0.4265356951871434 | Train acc: {'40X': 79.5, '100X': 81.82, '200X': 85.5, '400X': 83.87, 'avg_acc': 82.67, 'all_acc': 82.64} | Valid loss: 0.44412178844213485 | Valid acc: {'40X': 80.2, '100X': 81.53, '200X': 83.08, '400X': 82.42, 'avg_acc': 81.81, 'all_acc': 81.8}| Runtime: 1.3 mins
2023-12-04_00-19-53: Epoch: 12 | Train loss: 0.4134336983835375 | Train acc: {'40X': 80.0, '100X': 82.88, '200X': 86.0, '400X': 84.4, 'avg_acc': 83.32, 'all_acc': 83.3} | Valid loss: 0.4401282775402069 | Valid acc: {'40X': 80.95, '100X': 82.49, '200X': 83.33, '400X': 81.04, 'avg_acc': 81.95, 'all_acc': 81.98}| Runtime: 1.3 mins
2023-12-04_00-21-07: Epoch: 13 | Train loss: 0.3991034385320303 | Train acc: {'40X': 81.29, '100X': 83.86, '200X': 86.8, '400X': 84.66, 'avg_acc': 84.15, 'all_acc': 84.14} | Valid loss: 0.4349784129858017 | Valid acc: {'40X': 80.95, '100X': 82.97, '200X': 83.33, '400X': 81.04, 'avg_acc': 82.07, 'all_acc': 82.11}| Runtime: 1.2 mins
2023-12-04_00-22-24: Epoch: 14 | Train loss: 0.3854050971567631 | Train acc: {'40X': 82.38, '100X': 84.59, '200X': 87.4, '400X': 86.26, 'avg_acc': 85.16, 'all_acc': 85.14} | Valid loss: 0.4209095388650894 | Valid acc: {'40X': 81.7, '100X': 83.45, '200X': 82.59, '400X': 82.42, 'avg_acc': 82.54, 'all_acc': 82.55}| Runtime: 1.3 mins
2023-12-04_00-23-41: Epoch: 15 | Train loss: 0.369639401600973 | Train acc: {'40X': 82.75, '100X': 85.16, '200X': 87.48, '400X': 86.59, 'avg_acc': 85.5, 'all_acc': 85.47} | Valid loss: 0.41708426654338837 | Valid acc: {'40X': 83.21, '100X': 82.97, '200X': 83.08, '400X': 82.69, 'avg_acc': 82.99, 'all_acc': 83.0}| Runtime: 1.3 mins
2023-12-04_00-24-53: Epoch: 16 | Train loss: 0.35376206473321525 | Train acc: {'40X': 83.43, '100X': 85.89, '200X': 88.38, '400X': 88.43, 'avg_acc': 86.53, 'all_acc': 86.49} | Valid loss: 0.4097913110256195 | Valid acc: {'40X': 83.46, '100X': 82.25, '200X': 83.58, '400X': 81.32, 'avg_acc': 82.65, 'all_acc': 82.68}| Runtime: 1.2 mins
2023-12-04_00-26-01: Epoch: 17 | Train loss: 0.33532686561748787 | Train acc: {'40X': 84.18, '100X': 86.94, '200X': 88.69, '400X': 88.81, 'avg_acc': 87.16, 'all_acc': 87.12} | Valid loss: 0.40542080223560334 | Valid acc: {'40X': 83.46, '100X': 82.73, '200X': 84.58, '400X': 81.59, 'avg_acc': 83.09, 'all_acc': 83.12}| Runtime: 1.1 mins
2023-12-04_00-27-07: Epoch: 18 | Train loss: 0.3193022377184919 | Train acc: {'40X': 84.92, '100X': 87.33, '200X': 89.53, '400X': 89.09, 'avg_acc': 87.72, 'all_acc': 87.69} | Valid loss: 0.39535084426403044 | Valid acc: {'40X': 83.21, '100X': 83.21, '200X': 83.83, '400X': 82.14, 'avg_acc': 83.1, 'all_acc': 83.12}| Runtime: 1.1 mins
2023-12-04_00-28-12: Epoch: 19 | Train loss: 0.30151741065689036 | Train acc: {'40X': 85.51, '100X': 88.1, '200X': 89.8, '400X': 89.47, 'avg_acc': 88.22, 'all_acc': 88.2} | Valid loss: 0.39530531376600264 | Valid acc: {'40X': 83.21, '100X': 84.17, '200X': 84.33, '400X': 82.14, 'avg_acc': 83.46, 'all_acc': 83.5}| Runtime: 1.1 mins
2023-12-04_00-29-17: Epoch: 20 | Train loss: 0.2836756066897431 | Train acc: {'40X': 86.36, '100X': 89.23, '200X': 90.05, '400X': 89.73, 'avg_acc': 88.84, 'all_acc': 88.83} | Valid loss: 0.3945904284715652 | Valid acc: {'40X': 83.46, '100X': 83.93, '200X': 84.33, '400X': 82.14, 'avg_acc': 83.46, 'all_acc': 83.5}| Runtime: 1.1 mins
2023-12-04_00-29-17: Train summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  50.96  51.85  57.25  54.69    53.69    53.65
1       2  79.56  80.67  84.42  81.62    81.57    81.57
2       3  79.31  81.20  84.59  83.12    82.06    82.03
3       4  80.15  80.83  84.67  82.72    82.09    82.07
4       5  80.00  80.77  86.00  81.58    82.09    82.09
5       6  79.18  80.79  85.56  82.22    81.94    81.93
6       7  77.82  79.82  84.76  81.47    80.97    80.95
7       8  78.06  79.84  84.59  81.74    81.06    81.04
8       9  77.91  80.16  84.69  81.89    81.16    81.14
9      10  78.68  81.35  85.15  83.13    82.08    82.05
10     11  79.50  81.82  85.50  83.87    82.67    82.64
11     12  80.00  82.88  86.00  84.40    83.32    83.30
12     13  81.29  83.86  86.80  84.66    84.15    84.14
13     14  82.38  84.59  87.40  86.26    85.16    85.14
14     15  82.75  85.16  87.48  86.59    85.50    85.47
15     16  83.43  85.89  88.38  88.43    86.53    86.49
16     17  84.18  86.94  88.69  88.81    87.16    87.12
17     18  84.92  87.33  89.53  89.09    87.72    87.69
18     19  85.51  88.10  89.80  89.47    88.22    88.20
19     20  86.36  89.23  90.05  89.73    88.84    88.83
2023-12-04_00-29-17: Eval summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  78.70  78.18  82.09  78.57    79.38    79.39
1       2  78.45  79.86  83.33  78.30    79.98    80.03
2       3  78.20  80.10  83.58  78.30    80.04    80.09
3       4  79.45  80.58  84.83  77.47    80.58    80.66
4       5  79.45  79.62  83.58  79.95    80.65    80.66
5       6  79.45  79.62  83.83  81.04    80.98    80.97
6       7  78.70  79.38  83.83  80.77    80.67    80.66
7       8  78.70  80.34  83.83  80.77    80.91    80.91
8       9  78.95  80.58  83.33  81.59    81.11    81.10
9      10  80.45  80.82  83.33  81.87    81.62    81.61
10     11  80.20  81.53  83.08  82.42    81.81    81.80
11     12  80.95  82.49  83.33  81.04    81.95    81.98
12     13  80.95  82.97  83.33  81.04    82.07    82.11
13     14  81.70  83.45  82.59  82.42    82.54    82.55
14     15  83.21  82.97  83.08  82.69    82.99    83.00
15     16  83.46  82.25  83.58  81.32    82.65    82.68
16     17  83.46  82.73  84.58  81.59    83.09    83.12
17     18  83.21  83.21  83.83  82.14    83.10    83.12
18     19  83.21  84.17  84.33  82.14    83.46    83.50
19     20  83.46  83.93  84.33  82.14    83.46    83.50
2023-12-04_00-29-17: Final test accuracy: {'40X': 83.21, '100X': 78.37, '200X': 88.09, '400X': 85.16, 'avg_acc': 83.71, 'all_acc': 83.63}
