2023-12-04_02-02-19: config: {'n_epochs': 20, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 1e-05, 'optimizer': 'adam', 'momentum': 0.9, 'weight_decay': 5e-05, 'device': 'cuda:0', 'n_gpus': 1, 'model': 'MLP', 'h_dim_list': [80, 50, 50, 40, 25]}
2023-12-04_02-02-19: layers.0.weight: torch.Size([80, 150528])
2023-12-04_02-02-19: layers.0.bias: torch.Size([80])
2023-12-04_02-02-19: layers.2.weight: torch.Size([50, 80])
2023-12-04_02-02-19: layers.2.bias: torch.Size([50])
2023-12-04_02-02-19: layers.4.weight: torch.Size([50, 50])
2023-12-04_02-02-19: layers.4.bias: torch.Size([50])
2023-12-04_02-02-19: layers.6.weight: torch.Size([40, 50])
2023-12-04_02-02-19: layers.6.bias: torch.Size([40])
2023-12-04_02-02-19: layers.8.weight: torch.Size([25, 40])
2023-12-04_02-02-19: layers.8.bias: torch.Size([25])
2023-12-04_02-02-19: layers.10.weight: torch.Size([2, 25])
2023-12-04_02-02-19: layers.10.bias: torch.Size([2])
2023-12-04_02-02-19: 
Total parameters: 12,052,037;	Trainable: 12,052,037
2023-12-04_02-03-14: Epoch: 1 | Train loss: 0.5878977276183464 | Train acc: {'40X': 70.44, '100X': 72.09, '200X': 76.68, '400X': 72.84, 'avg_acc': 73.01, 'all_acc': 73.02} | Valid loss: 0.5319877278804779 | Valid acc: {'40X': 75.44, '100X': 77.46, '200X': 81.84, '400X': 76.37, 'avg_acc': 77.78, 'all_acc': 77.81}| Runtime: 0.9 mins
2023-12-04_02-04-18: Epoch: 2 | Train loss: 0.4980387297031042 | Train acc: {'40X': 76.67, '100X': 77.55, '200X': 82.41, '400X': 80.88, 'avg_acc': 79.38, 'all_acc': 79.33} | Valid loss: 0.48865074694156646 | Valid acc: {'40X': 77.69, '100X': 77.46, '200X': 82.09, '400X': 78.85, 'avg_acc': 79.02, 'all_acc': 79.01}| Runtime: 1.1 mins
2023-12-04_02-05-26: Epoch: 3 | Train loss: 0.4482367246134861 | Train acc: {'40X': 79.78, '100X': 80.8, '200X': 84.72, '400X': 84.86, 'avg_acc': 82.54, 'all_acc': 82.47} | Valid loss: 0.45987546622753145 | Valid acc: {'40X': 81.45, '100X': 80.58, '200X': 81.84, '400X': 79.4, 'avg_acc': 80.82, 'all_acc': 80.85}| Runtime: 1.1 mins
2023-12-04_02-06-35: Epoch: 4 | Train loss: 0.40343801556406794 | Train acc: {'40X': 82.01, '100X': 84.35, '200X': 86.74, '400X': 86.58, 'avg_acc': 84.92, 'all_acc': 84.88} | Valid loss: 0.4370318257808685 | Valid acc: {'40X': 82.96, '100X': 81.77, '200X': 82.59, '400X': 79.67, 'avg_acc': 81.75, 'all_acc': 81.8}| Runtime: 1.1 mins
2023-12-04_02-07-42: Epoch: 5 | Train loss: 0.3634073711126237 | Train acc: {'40X': 84.11, '100X': 86.44, '200X': 87.73, '400X': 88.14, 'avg_acc': 86.6, 'all_acc': 86.57} | Valid loss: 0.42141025125980375 | Valid acc: {'40X': 81.95, '100X': 83.21, '200X': 82.34, '400X': 80.77, 'avg_acc': 82.07, 'all_acc': 82.11}| Runtime: 1.1 mins
2023-12-04_02-08-48: Epoch: 6 | Train loss: 0.3236418278837526 | Train acc: {'40X': 85.26, '100X': 88.93, '200X': 89.64, '400X': 89.26, 'avg_acc': 88.27, 'all_acc': 88.26} | Valid loss: 0.4104624289274216 | Valid acc: {'40X': 84.96, '100X': 81.29, '200X': 83.33, '400X': 79.95, 'avg_acc': 82.38, 'all_acc': 82.43}| Runtime: 1.1 mins
2023-12-04_02-09-55: Epoch: 7 | Train loss: 0.2881458300996471 | Train acc: {'40X': 87.63, '100X': 90.29, '200X': 90.62, '400X': 90.27, 'avg_acc': 89.7, 'all_acc': 89.7} | Valid loss: 0.39624945282936097 | Valid acc: {'40X': 82.71, '100X': 83.21, '200X': 83.58, '400X': 82.69, 'avg_acc': 83.05, 'all_acc': 83.06}| Runtime: 1.1 mins
2023-12-04_02-11-02: Epoch: 8 | Train loss: 0.25558535311673136 | Train acc: {'40X': 89.37, '100X': 92.22, '200X': 92.28, '400X': 91.01, 'avg_acc': 91.22, 'all_acc': 91.24} | Valid loss: 0.39162872672080995 | Valid acc: {'40X': 84.21, '100X': 82.01, '200X': 84.83, '400X': 80.49, 'avg_acc': 82.88, 'all_acc': 82.93}| Runtime: 1.1 mins
2023-12-04_02-12-08: Epoch: 9 | Train loss: 0.22188192152896444 | Train acc: {'40X': 90.71, '100X': 93.73, '200X': 93.61, '400X': 92.85, 'avg_acc': 92.72, 'all_acc': 92.74} | Valid loss: 0.3871286991238594 | Valid acc: {'40X': 83.21, '100X': 83.21, '200X': 85.07, '400X': 81.04, 'avg_acc': 83.13, 'all_acc': 83.19}| Runtime: 1.1 mins
2023-12-04_02-13-14: Epoch: 10 | Train loss: 0.1918117211175126 | Train acc: {'40X': 92.53, '100X': 95.51, '200X': 95.44, '400X': 94.23, 'avg_acc': 94.43, 'all_acc': 94.45} | Valid loss: 0.38767259240150453 | Valid acc: {'40X': 84.46, '100X': 83.45, '200X': 85.32, '400X': 81.04, 'avg_acc': 83.57, 'all_acc': 83.63}| Runtime: 1.1 mins
2023-12-04_02-14-23: Epoch: 11 | Train loss: 0.1633423511945718 | Train acc: {'40X': 94.38, '100X': 96.79, '200X': 96.85, '400X': 96.05, 'avg_acc': 96.02, 'all_acc': 96.03} | Valid loss: 0.4227352187037468 | Valid acc: {'40X': 83.71, '100X': 82.97, '200X': 85.32, '400X': 80.22, 'avg_acc': 83.06, 'all_acc': 83.12}| Runtime: 1.1 mins
2023-12-04_02-15-40: Epoch: 12 | Train loss: 0.137607064249145 | Train acc: {'40X': 95.31, '100X': 97.91, '200X': 97.18, '400X': 97.16, 'avg_acc': 96.89, 'all_acc': 96.9} | Valid loss: 0.40910265147686004 | Valid acc: {'40X': 85.21, '100X': 82.25, '200X': 85.82, '400X': 80.77, 'avg_acc': 83.51, 'all_acc': 83.57}| Runtime: 1.3 mins
2023-12-04_02-17-00: Epoch: 13 | Train loss: 0.1144302534946316 | Train acc: {'40X': 96.07, '100X': 97.83, '200X': 98.26, '400X': 98.07, 'avg_acc': 97.56, 'all_acc': 97.55} | Valid loss: 0.4232203295826912 | Valid acc: {'40X': 85.46, '100X': 83.45, '200X': 85.57, '400X': 80.49, 'avg_acc': 83.74, 'all_acc': 83.82}| Runtime: 1.3 mins
2023-12-04_02-18-25: Epoch: 14 | Train loss: 0.09519361359746875 | Train acc: {'40X': 96.91, '100X': 98.39, '200X': 99.0, '400X': 98.9, 'avg_acc': 98.3, 'all_acc': 98.29} | Valid loss: 0.4399541242420673 | Valid acc: {'40X': 85.46, '100X': 83.45, '200X': 84.58, '400X': 81.04, 'avg_acc': 83.63, 'all_acc': 83.69}| Runtime: 1.4 mins
2023-12-04_02-20-02: Epoch: 15 | Train loss: 0.07748559827136027 | Train acc: {'40X': 97.41, '100X': 98.71, '200X': 99.0, '400X': 99.36, 'avg_acc': 98.62, 'all_acc': 98.61} | Valid loss: 0.4329362177848816 | Valid acc: {'40X': 84.96, '100X': 83.21, '200X': 84.33, '400X': 80.77, 'avg_acc': 83.32, 'all_acc': 83.38}| Runtime: 1.6 mins
2023-12-04_02-21-23: Epoch: 16 | Train loss: 0.06267155287787318 | Train acc: {'40X': 98.49, '100X': 99.2, '200X': 99.34, '400X': 99.72, 'avg_acc': 99.19, 'all_acc': 99.18} | Valid loss: 0.46190729916095735 | Valid acc: {'40X': 85.96, '100X': 82.97, '200X': 85.82, '400X': 81.04, 'avg_acc': 83.95, 'all_acc': 84.01}| Runtime: 1.3 mins
2023-12-04_02-22-38: Epoch: 17 | Train loss: 0.05141504836344236 | Train acc: {'40X': 98.5, '100X': 99.44, '200X': 99.59, '400X': 99.63, 'avg_acc': 99.29, 'all_acc': 99.28} | Valid loss: 0.47019380882382394 | Valid acc: {'40X': 85.46, '100X': 82.97, '200X': 84.83, '400X': 79.95, 'avg_acc': 83.3, 'all_acc': 83.38}| Runtime: 1.2 mins
2023-12-04_02-23-47: Epoch: 18 | Train loss: 0.0418091522894699 | Train acc: {'40X': 98.83, '100X': 99.68, '200X': 99.75, '400X': 99.73, 'avg_acc': 99.5, 'all_acc': 99.49} | Valid loss: 0.4806461867690086 | Valid acc: {'40X': 85.46, '100X': 82.97, '200X': 84.08, '400X': 80.77, 'avg_acc': 83.32, 'all_acc': 83.38}| Runtime: 1.2 mins
2023-12-04_02-24-54: Epoch: 19 | Train loss: 0.03379976932538321 | Train acc: {'40X': 99.16, '100X': 99.76, '200X': 99.75, '400X': 100.0, 'avg_acc': 99.67, 'all_acc': 99.66} | Valid loss: 0.48534334599971773 | Valid acc: {'40X': 85.96, '100X': 83.21, '200X': 83.83, '400X': 80.22, 'avg_acc': 83.3, 'all_acc': 83.38}| Runtime: 1.1 mins
2023-12-04_02-25-59: Epoch: 20 | Train loss: 0.02823649760260171 | Train acc: {'40X': 99.24, '100X': 99.84, '200X': 99.75, '400X': 100.0, 'avg_acc': 99.71, 'all_acc': 99.7} | Valid loss: 0.5074268877506256 | Valid acc: {'40X': 84.96, '100X': 83.93, '200X': 84.83, '400X': 80.77, 'avg_acc': 83.62, 'all_acc': 83.69}| Runtime: 1.1 mins
2023-12-04_02-25-59: Train summary:     epoch    40X   100X   200X    400X  avg_acc  all_acc
0       1  70.44  72.09  76.68   72.84    73.01    73.02
1       2  76.67  77.55  82.41   80.88    79.38    79.33
2       3  79.78  80.80  84.72   84.86    82.54    82.47
3       4  82.01  84.35  86.74   86.58    84.92    84.88
4       5  84.11  86.44  87.73   88.14    86.60    86.57
5       6  85.26  88.93  89.64   89.26    88.27    88.26
6       7  87.63  90.29  90.62   90.27    89.70    89.70
7       8  89.37  92.22  92.28   91.01    91.22    91.24
8       9  90.71  93.73  93.61   92.85    92.72    92.74
9      10  92.53  95.51  95.44   94.23    94.43    94.45
10     11  94.38  96.79  96.85   96.05    96.02    96.03
11     12  95.31  97.91  97.18   97.16    96.89    96.90
12     13  96.07  97.83  98.26   98.07    97.56    97.55
13     14  96.91  98.39  99.00   98.90    98.30    98.29
14     15  97.41  98.71  99.00   99.36    98.62    98.61
15     16  98.49  99.20  99.34   99.72    99.19    99.18
16     17  98.50  99.44  99.59   99.63    99.29    99.28
17     18  98.83  99.68  99.75   99.73    99.50    99.49
18     19  99.16  99.76  99.75  100.00    99.67    99.66
19     20  99.24  99.84  99.75  100.00    99.71    99.70
2023-12-04_02-25-59: Eval summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  75.44  77.46  81.84  76.37    77.78    77.81
1       2  77.69  77.46  82.09  78.85    79.02    79.01
2       3  81.45  80.58  81.84  79.40    80.82    80.85
3       4  82.96  81.77  82.59  79.67    81.75    81.80
4       5  81.95  83.21  82.34  80.77    82.07    82.11
5       6  84.96  81.29  83.33  79.95    82.38    82.43
6       7  82.71  83.21  83.58  82.69    83.05    83.06
7       8  84.21  82.01  84.83  80.49    82.88    82.93
8       9  83.21  83.21  85.07  81.04    83.13    83.19
9      10  84.46  83.45  85.32  81.04    83.57    83.63
10     11  83.71  82.97  85.32  80.22    83.06    83.12
11     12  85.21  82.25  85.82  80.77    83.51    83.57
12     13  85.46  83.45  85.57  80.49    83.74    83.82
13     14  85.46  83.45  84.58  81.04    83.63    83.69
14     15  84.96  83.21  84.33  80.77    83.32    83.38
15     16  85.96  82.97  85.82  81.04    83.95    84.01
16     17  85.46  82.97  84.83  79.95    83.30    83.38
17     18  85.46  82.97  84.08  80.77    83.32    83.38
18     19  85.96  83.21  83.83  80.22    83.30    83.38
19     20  84.96  83.93  84.83  80.77    83.62    83.69
2023-12-04_02-25-59: Final test accuracy: {'40X': 83.46, '100X': 79.81, '200X': 88.83, '400X': 85.44, 'avg_acc': 84.38, 'all_acc': 84.32}
