2023-12-04_02-02-51: config: {'n_epochs': 20, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 1e-05, 'optimizer': 'adam', 'momentum': 0.9, 'weight_decay': 5e-05, 'device': 'cuda:0', 'n_gpus': 1, 'model': 'MLP', 'h_dim_list': [80, 50, 40]}
2023-12-04_02-02-51: layers.0.weight: torch.Size([80, 150528])
2023-12-04_02-02-51: layers.0.bias: torch.Size([80])
2023-12-04_02-02-51: layers.2.weight: torch.Size([50, 80])
2023-12-04_02-02-51: layers.2.bias: torch.Size([50])
2023-12-04_02-02-51: layers.4.weight: torch.Size([40, 50])
2023-12-04_02-02-51: layers.4.bias: torch.Size([40])
2023-12-04_02-02-51: layers.6.weight: torch.Size([2, 40])
2023-12-04_02-02-51: layers.6.bias: torch.Size([2])
2023-12-04_02-02-51: 
Total parameters: 12,048,492;	Trainable: 12,048,492
2023-12-04_02-03-47: Epoch: 1 | Train loss: 0.5051726886146778 | Train acc: {'40X': 74.67, '100X': 76.84, '200X': 82.66, '400X': 77.64, 'avg_acc': 77.95, 'all_acc': 77.96} | Valid loss: 0.4545733934640884 | Valid acc: {'40X': 78.95, '100X': 80.1, '200X': 82.59, '400X': 79.67, 'avg_acc': 80.33, 'all_acc': 80.34}| Runtime: 0.9 mins
2023-12-04_02-04-52: Epoch: 2 | Train loss: 0.4035853292490985 | Train acc: {'40X': 80.0, '100X': 82.34, '200X': 85.74, '400X': 85.22, 'avg_acc': 83.32, 'all_acc': 83.28} | Valid loss: 0.41258245944976807 | Valid acc: {'40X': 83.71, '100X': 82.25, '200X': 83.83, '400X': 80.22, 'avg_acc': 82.5, 'all_acc': 82.55}| Runtime: 1.1 mins
2023-12-04_02-05-59: Epoch: 3 | Train loss: 0.3355619098890472 | Train acc: {'40X': 84.02, '100X': 86.38, '200X': 89.04, '400X': 88.43, 'avg_acc': 86.97, 'all_acc': 86.93} | Valid loss: 0.389208117723465 | Valid acc: {'40X': 83.96, '100X': 83.93, '200X': 84.83, '400X': 80.77, 'avg_acc': 83.37, 'all_acc': 83.44}| Runtime: 1.1 mins
2023-12-04_02-07-08: Epoch: 4 | Train loss: 0.2829665021115058 | Train acc: {'40X': 86.84, '100X': 88.37, '200X': 90.8, '400X': 90.83, 'avg_acc': 89.21, 'all_acc': 89.17} | Valid loss: 0.38992070615291596 | Valid acc: {'40X': 85.21, '100X': 82.97, '200X': 85.32, '400X': 81.04, 'avg_acc': 83.64, 'all_acc': 83.69}| Runtime: 1.1 mins
2023-12-04_02-08-18: Epoch: 5 | Train loss: 0.23878618380105174 | Train acc: {'40X': 88.51, '100X': 91.57, '200X': 92.72, '400X': 93.49, 'avg_acc': 91.57, 'all_acc': 91.53} | Valid loss: 0.3772724598646164 | Valid acc: {'40X': 83.71, '100X': 85.37, '200X': 85.07, '400X': 82.69, 'avg_acc': 84.21, 'all_acc': 84.26}| Runtime: 1.2 mins
2023-12-04_02-09-24: Epoch: 6 | Train loss: 0.20238809493949284 | Train acc: {'40X': 91.14, '100X': 93.98, '200X': 94.94, '400X': 94.76, 'avg_acc': 93.7, 'all_acc': 93.69} | Valid loss: 0.38794210880994795 | Valid acc: {'40X': 85.71, '100X': 83.45, '200X': 85.82, '400X': 79.67, 'avg_acc': 83.66, 'all_acc': 83.75}| Runtime: 1.1 mins
2023-12-04_02-10-31: Epoch: 7 | Train loss: 0.1734157319910623 | Train acc: {'40X': 92.05, '100X': 95.67, '200X': 96.43, '400X': 96.33, 'avg_acc': 95.12, 'all_acc': 95.1} | Valid loss: 0.4055110067129135 | Valid acc: {'40X': 84.96, '100X': 83.93, '200X': 86.32, '400X': 80.49, 'avg_acc': 83.92, 'all_acc': 84.01}| Runtime: 1.1 mins
2023-12-04_02-11-35: Epoch: 8 | Train loss: 0.14579785298052672 | Train acc: {'40X': 94.73, '100X': 96.95, '200X': 98.01, '400X': 97.52, 'avg_acc': 96.8, 'all_acc': 96.79} | Valid loss: 0.41597758650779726 | Valid acc: {'40X': 85.21, '100X': 82.97, '200X': 85.57, '400X': 80.49, 'avg_acc': 83.56, 'all_acc': 83.63}| Runtime: 1.1 mins
2023-12-04_02-12-42: Epoch: 9 | Train loss: 0.1234901473932975 | Train acc: {'40X': 95.3, '100X': 98.0, '200X': 98.18, '400X': 98.17, 'avg_acc': 97.41, 'all_acc': 97.4} | Valid loss: 0.4036615034937859 | Valid acc: {'40X': 84.46, '100X': 84.17, '200X': 85.82, '400X': 81.87, 'avg_acc': 84.08, 'all_acc': 84.13}| Runtime: 1.1 mins
2023-12-04_02-13-48: Epoch: 10 | Train loss: 0.10464984362290518 | Train acc: {'40X': 95.82, '100X': 98.56, '200X': 98.92, '400X': 98.99, 'avg_acc': 98.07, 'all_acc': 98.06} | Valid loss: 0.4078976121544838 | Valid acc: {'40X': 85.71, '100X': 83.21, '200X': 85.07, '400X': 80.77, 'avg_acc': 83.69, 'all_acc': 83.75}| Runtime: 1.1 mins
2023-12-04_02-14-58: Epoch: 11 | Train loss: 0.08833250650078864 | Train acc: {'40X': 97.16, '100X': 98.8, '200X': 99.5, '400X': 99.27, 'avg_acc': 98.68, 'all_acc': 98.67} | Valid loss: 0.4289654974639416 | Valid acc: {'40X': 84.71, '100X': 83.93, '200X': 85.32, '400X': 79.95, 'avg_acc': 83.48, 'all_acc': 83.57}| Runtime: 1.2 mins
2023-12-04_02-16-12: Epoch: 12 | Train loss: 0.07389010869067263 | Train acc: {'40X': 98.33, '100X': 99.12, '200X': 99.42, '400X': 99.36, 'avg_acc': 99.06, 'all_acc': 99.05} | Valid loss: 0.4390178966522217 | Valid acc: {'40X': 86.22, '100X': 83.69, '200X': 85.57, '400X': 80.77, 'avg_acc': 84.06, 'all_acc': 84.13}| Runtime: 1.2 mins
2023-12-04_02-17-28: Epoch: 13 | Train loss: 0.06428231123985874 | Train acc: {'40X': 98.33, '100X': 99.36, '200X': 99.58, '400X': 99.63, 'avg_acc': 99.22, 'all_acc': 99.22} | Valid loss: 0.43598639488220214 | Valid acc: {'40X': 85.21, '100X': 83.45, '200X': 84.58, '400X': 81.87, 'avg_acc': 83.78, 'all_acc': 83.82}| Runtime: 1.3 mins
2023-12-04_02-19-02: Epoch: 14 | Train loss: 0.05186969045599973 | Train acc: {'40X': 98.58, '100X': 99.76, '200X': 99.83, '400X': 99.72, 'avg_acc': 99.47, 'all_acc': 99.47} | Valid loss: 0.4482631641626358 | Valid acc: {'40X': 84.96, '100X': 83.93, '200X': 85.57, '400X': 81.04, 'avg_acc': 83.88, 'all_acc': 83.94}| Runtime: 1.6 mins
2023-12-04_02-20-34: Epoch: 15 | Train loss: 0.04430923921786047 | Train acc: {'40X': 98.99, '100X': 99.84, '200X': 99.83, '400X': 99.72, 'avg_acc': 99.6, 'all_acc': 99.6} | Valid loss: 0.45281937807798384 | Valid acc: {'40X': 86.22, '100X': 83.45, '200X': 85.32, '400X': 81.32, 'avg_acc': 84.08, 'all_acc': 84.13}| Runtime: 1.5 mins
2023-12-04_02-21-50: Epoch: 16 | Train loss: 0.03718639726473673 | Train acc: {'40X': 99.5, '100X': 99.92, '200X': 99.92, '400X': 99.72, 'avg_acc': 99.77, 'all_acc': 99.77} | Valid loss: 0.47852087289094924 | Valid acc: {'40X': 85.21, '100X': 82.97, '200X': 85.07, '400X': 80.49, 'avg_acc': 83.44, 'all_acc': 83.5}| Runtime: 1.3 mins
2023-12-04_02-23-03: Epoch: 17 | Train loss: 0.030285724161847216 | Train acc: {'40X': 99.33, '100X': 99.92, '200X': 100.0, '400X': 99.91, 'avg_acc': 99.79, 'all_acc': 99.79} | Valid loss: 0.4903217663615942 | Valid acc: {'40X': 85.21, '100X': 82.97, '200X': 84.58, '400X': 81.04, 'avg_acc': 83.45, 'all_acc': 83.5}| Runtime: 1.2 mins
2023-12-04_02-24-08: Epoch: 18 | Train loss: 0.02557512020969109 | Train acc: {'40X': 99.58, '100X': 100.0, '200X': 100.0, '400X': 99.82, 'avg_acc': 99.85, 'all_acc': 99.85} | Valid loss: 0.49566791504621505 | Valid acc: {'40X': 84.96, '100X': 83.21, '200X': 84.83, '400X': 81.32, 'avg_acc': 83.58, 'all_acc': 83.63}| Runtime: 1.1 mins
2023-12-04_02-25-14: Epoch: 19 | Train loss: 0.021687629399821162 | Train acc: {'40X': 99.83, '100X': 100.0, '200X': 100.0, '400X': 99.91, 'avg_acc': 99.94, 'all_acc': 99.94} | Valid loss: 0.5308254344761372 | Valid acc: {'40X': 85.71, '100X': 82.73, '200X': 85.82, '400X': 80.22, 'avg_acc': 83.62, 'all_acc': 83.69}| Runtime: 1.1 mins
2023-12-04_02-26-20: Epoch: 20 | Train loss: 0.018612217608008633 | Train acc: {'40X': 99.92, '100X': 100.0, '200X': 100.0, '400X': 99.91, 'avg_acc': 99.96, 'all_acc': 99.96} | Valid loss: 0.5195158341526985 | Valid acc: {'40X': 84.96, '100X': 83.21, '200X': 85.07, '400X': 81.59, 'avg_acc': 83.71, 'all_acc': 83.75}| Runtime: 1.1 mins
2023-12-04_02-26-20: Train summary:     epoch    40X    100X    200X   400X  avg_acc  all_acc
0       1  74.67   76.84   82.66  77.64    77.95    77.96
1       2  80.00   82.34   85.74  85.22    83.32    83.28
2       3  84.02   86.38   89.04  88.43    86.97    86.93
3       4  86.84   88.37   90.80  90.83    89.21    89.17
4       5  88.51   91.57   92.72  93.49    91.57    91.53
5       6  91.14   93.98   94.94  94.76    93.70    93.69
6       7  92.05   95.67   96.43  96.33    95.12    95.10
7       8  94.73   96.95   98.01  97.52    96.80    96.79
8       9  95.30   98.00   98.18  98.17    97.41    97.40
9      10  95.82   98.56   98.92  98.99    98.07    98.06
10     11  97.16   98.80   99.50  99.27    98.68    98.67
11     12  98.33   99.12   99.42  99.36    99.06    99.05
12     13  98.33   99.36   99.58  99.63    99.22    99.22
13     14  98.58   99.76   99.83  99.72    99.47    99.47
14     15  98.99   99.84   99.83  99.72    99.60    99.60
15     16  99.50   99.92   99.92  99.72    99.77    99.77
16     17  99.33   99.92  100.00  99.91    99.79    99.79
17     18  99.58  100.00  100.00  99.82    99.85    99.85
18     19  99.83  100.00  100.00  99.91    99.94    99.94
19     20  99.92  100.00  100.00  99.91    99.96    99.96
2023-12-04_02-26-20: Eval summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  78.95  80.10  82.59  79.67    80.33    80.34
1       2  83.71  82.25  83.83  80.22    82.50    82.55
2       3  83.96  83.93  84.83  80.77    83.37    83.44
3       4  85.21  82.97  85.32  81.04    83.64    83.69
4       5  83.71  85.37  85.07  82.69    84.21    84.26
5       6  85.71  83.45  85.82  79.67    83.66    83.75
6       7  84.96  83.93  86.32  80.49    83.92    84.01
7       8  85.21  82.97  85.57  80.49    83.56    83.63
8       9  84.46  84.17  85.82  81.87    84.08    84.13
9      10  85.71  83.21  85.07  80.77    83.69    83.75
10     11  84.71  83.93  85.32  79.95    83.48    83.57
11     12  86.22  83.69  85.57  80.77    84.06    84.13
12     13  85.21  83.45  84.58  81.87    83.78    83.82
13     14  84.96  83.93  85.57  81.04    83.88    83.94
14     15  86.22  83.45  85.32  81.32    84.08    84.13
15     16  85.21  82.97  85.07  80.49    83.44    83.50
16     17  85.21  82.97  84.58  81.04    83.45    83.50
17     18  84.96  83.21  84.83  81.32    83.58    83.63
18     19  85.71  82.73  85.82  80.22    83.62    83.69
19     20  84.96  83.21  85.07  81.59    83.71    83.75
2023-12-04_02-26-20: Final test accuracy: {'40X': 82.21, '100X': 80.77, '200X': 87.84, '400X': 84.34, 'avg_acc': 83.79, 'all_acc': 83.75}
