2023-12-04_03-06-45: config: {'n_epochs': 20, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 1e-05, 'optimizer': 'sgd', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:0', 'n_gpus': 1, 'model': 'MLP', 'h_dim_list': [80, 50, 50, 40, 25]}
2023-12-04_03-06-45: layers.0.weight: torch.Size([80, 150528])
2023-12-04_03-06-45: layers.0.bias: torch.Size([80])
2023-12-04_03-06-45: layers.2.weight: torch.Size([50, 80])
2023-12-04_03-06-45: layers.2.bias: torch.Size([50])
2023-12-04_03-06-45: layers.4.weight: torch.Size([50, 50])
2023-12-04_03-06-45: layers.4.bias: torch.Size([50])
2023-12-04_03-06-45: layers.6.weight: torch.Size([40, 50])
2023-12-04_03-06-45: layers.6.bias: torch.Size([40])
2023-12-04_03-06-45: layers.8.weight: torch.Size([25, 40])
2023-12-04_03-06-45: layers.8.bias: torch.Size([25])
2023-12-04_03-06-45: layers.10.weight: torch.Size([2, 25])
2023-12-04_03-06-45: layers.10.bias: torch.Size([2])
2023-12-04_03-06-45: 
Total parameters: 12,052,037;	Trainable: 12,052,037
2023-12-04_03-07-38: Epoch: 1 | Train loss: 0.6906611685817307 | Train acc: {'40X': 68.91, '100X': 69.69, '200X': 68.35, '400X': 68.5, 'avg_acc': 68.86, 'all_acc': 68.88} | Valid loss: 0.6902115869522095 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-08-34: Epoch: 2 | Train loss: 0.689018390468649 | Train acc: {'40X': 68.73, '100X': 69.69, '200X': 68.19, '400X': 68.5, 'avg_acc': 68.78, 'all_acc': 68.79} | Valid loss: 0.6887229454517364 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-09-29: Epoch: 3 | Train loss: 0.6873538312879769 | Train acc: {'40X': 68.76, '100X': 69.66, '200X': 68.3, '400X': 68.38, 'avg_acc': 68.78, 'all_acc': 68.79} | Valid loss: 0.6870491671562194 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-10-24: Epoch: 4 | Train loss: 0.6856559067964554 | Train acc: {'40X': 68.77, '100X': 69.71, '200X': 68.27, '400X': 68.44, 'avg_acc': 68.8, 'all_acc': 68.81} | Valid loss: 0.6855948352813721 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-11-19: Epoch: 5 | Train loss: 0.6839357614517212 | Train acc: {'40X': 68.76, '100X': 69.77, '200X': 68.35, '400X': 68.47, 'avg_acc': 68.84, 'all_acc': 68.86} | Valid loss: 0.6839645600318909 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-12-15: Epoch: 6 | Train loss: 0.6822374958444286 | Train acc: {'40X': 68.7, '100X': 69.67, '200X': 68.29, '400X': 68.53, 'avg_acc': 68.8, 'all_acc': 68.81} | Valid loss: 0.682320499420166 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-13-08: Epoch: 7 | Train loss: 0.6805163158758266 | Train acc: {'40X': 68.73, '100X': 69.77, '200X': 68.3, '400X': 68.38, 'avg_acc': 68.8, 'all_acc': 68.81} | Valid loss: 0.6807561230659485 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-14-03: Epoch: 8 | Train loss: 0.6787556877007356 | Train acc: {'40X': 68.88, '100X': 69.74, '200X': 68.29, '400X': 68.53, 'avg_acc': 68.86, 'all_acc': 68.88} | Valid loss: 0.6792124831676483 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-14-58: Epoch: 9 | Train loss: 0.6770643197201394 | Train acc: {'40X': 68.7, '100X': 69.74, '200X': 68.3, '400X': 68.53, 'avg_acc': 68.82, 'all_acc': 68.83} | Valid loss: 0.6774949836730957 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-15-54: Epoch: 10 | Train loss: 0.6753622825081284 | Train acc: {'40X': 68.73, '100X': 69.59, '200X': 68.41, '400X': 68.56, 'avg_acc': 68.82, 'all_acc': 68.83} | Valid loss: 0.6759941482543945 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-16-49: Epoch: 11 | Train loss: 0.6736772547702532 | Train acc: {'40X': 68.73, '100X': 69.69, '200X': 68.25, '400X': 68.53, 'avg_acc': 68.8, 'all_acc': 68.81} | Valid loss: 0.674416401386261 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-17-44: Epoch: 12 | Train loss: 0.6719633119331824 | Train acc: {'40X': 68.79, '100X': 69.74, '200X': 68.22, '400X': 68.53, 'avg_acc': 68.82, 'all_acc': 68.83} | Valid loss: 0.6727934062480927 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-18-40: Epoch: 13 | Train loss: 0.670303006027196 | Train acc: {'40X': 68.82, '100X': 69.64, '200X': 68.35, '400X': 68.47, 'avg_acc': 68.82, 'all_acc': 68.83} | Valid loss: 0.6711166512966156 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-19-35: Epoch: 14 | Train loss: 0.6685885803119557 | Train acc: {'40X': 68.7, '100X': 69.77, '200X': 68.35, '400X': 68.62, 'avg_acc': 68.86, 'all_acc': 68.88} | Valid loss: 0.670144190788269 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-20-31: Epoch: 15 | Train loss: 0.6668948128416732 | Train acc: {'40X': 68.84, '100X': 69.86, '200X': 68.35, '400X': 68.47, 'avg_acc': 68.88, 'all_acc': 68.9} | Valid loss: 0.6679387974739075 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-21-26: Epoch: 16 | Train loss: 0.6653246674183253 | Train acc: {'40X': 68.79, '100X': 69.72, '200X': 68.27, '400X': 68.5, 'avg_acc': 68.82, 'all_acc': 68.83} | Valid loss: 0.6666171371936798 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-22-21: Epoch: 17 | Train loss: 0.6636779187498866 | Train acc: {'40X': 68.79, '100X': 69.8, '200X': 68.33, '400X': 68.44, 'avg_acc': 68.84, 'all_acc': 68.86} | Valid loss: 0.6652501630783081 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-23-16: Epoch: 18 | Train loss: 0.6620501424815204 | Train acc: {'40X': 68.79, '100X': 69.8, '200X': 68.27, '400X': 68.5, 'avg_acc': 68.84, 'all_acc': 68.86} | Valid loss: 0.6637764430046081 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-24-12: Epoch: 19 | Train loss: 0.6604665654736597 | Train acc: {'40X': 68.79, '100X': 69.69, '200X': 68.27, '400X': 68.54, 'avg_acc': 68.82, 'all_acc': 68.83} | Valid loss: 0.6621627032756805 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-25-07: Epoch: 20 | Train loss: 0.6588933926981848 | Train acc: {'40X': 68.76, '100X': 69.66, '200X': 68.29, '400X': 68.47, 'avg_acc': 68.8, 'all_acc': 68.81} | Valid loss: 0.6610838556289673 | Valid acc: {'40X': 68.42, '100X': 67.39, '200X': 68.16, '400X': 63.19, 'avg_acc': 66.79, 'all_acc': 66.88}| Runtime: 0.9 mins
2023-12-04_03-25-07: Train summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  68.91  69.69  68.35  68.50    68.86    68.88
1       2  68.73  69.69  68.19  68.50    68.78    68.79
2       3  68.76  69.66  68.30  68.38    68.78    68.79
3       4  68.77  69.71  68.27  68.44    68.80    68.81
4       5  68.76  69.77  68.35  68.47    68.84    68.86
5       6  68.70  69.67  68.29  68.53    68.80    68.81
6       7  68.73  69.77  68.30  68.38    68.80    68.81
7       8  68.88  69.74  68.29  68.53    68.86    68.88
8       9  68.70  69.74  68.30  68.53    68.82    68.83
9      10  68.73  69.59  68.41  68.56    68.82    68.83
10     11  68.73  69.69  68.25  68.53    68.80    68.81
11     12  68.79  69.74  68.22  68.53    68.82    68.83
12     13  68.82  69.64  68.35  68.47    68.82    68.83
13     14  68.70  69.77  68.35  68.62    68.86    68.88
14     15  68.84  69.86  68.35  68.47    68.88    68.90
15     16  68.79  69.72  68.27  68.50    68.82    68.83
16     17  68.79  69.80  68.33  68.44    68.84    68.86
17     18  68.79  69.80  68.27  68.50    68.84    68.86
18     19  68.79  69.69  68.27  68.54    68.82    68.83
19     20  68.76  69.66  68.29  68.47    68.80    68.81
2023-12-04_03-25-07: Eval summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  68.42  67.39  68.16  63.19    66.79    66.88
1       2  68.42  67.39  68.16  63.19    66.79    66.88
2       3  68.42  67.39  68.16  63.19    66.79    66.88
3       4  68.42  67.39  68.16  63.19    66.79    66.88
4       5  68.42  67.39  68.16  63.19    66.79    66.88
5       6  68.42  67.39  68.16  63.19    66.79    66.88
6       7  68.42  67.39  68.16  63.19    66.79    66.88
7       8  68.42  67.39  68.16  63.19    66.79    66.88
8       9  68.42  67.39  68.16  63.19    66.79    66.88
9      10  68.42  67.39  68.16  63.19    66.79    66.88
10     11  68.42  67.39  68.16  63.19    66.79    66.88
11     12  68.42  67.39  68.16  63.19    66.79    66.88
12     13  68.42  67.39  68.16  63.19    66.79    66.88
13     14  68.42  67.39  68.16  63.19    66.79    66.88
14     15  68.42  67.39  68.16  63.19    66.79    66.88
15     16  68.42  67.39  68.16  63.19    66.79    66.88
16     17  68.42  67.39  68.16  63.19    66.79    66.88
17     18  68.42  67.39  68.16  63.19    66.79    66.88
18     19  68.42  67.39  68.16  63.19    66.79    66.88
19     20  68.42  67.39  68.16  63.19    66.79    66.88
2023-12-04_03-25-07: Final test accuracy: {'40X': 68.67, '100X': 68.75, '200X': 72.21, '400X': 69.78, 'avg_acc': 69.85, 'all_acc': 69.85}
