2023-12-04_09-39-06: config: {'n_epochs': 30, 'batch_size': 32, 'h': 224, 'w': 224, 'lr': 1e-05, 'optimizer': 'adam', 'momentum': 0.9, 'weight_decay': 0, 'device': 'cuda:0', 'n_gpus': 1, 'model': 'MLP', 'h_dim_list': [80, 50, 50, 40, 25]}
2023-12-04_09-39-06: layers.0.weight: torch.Size([80, 150528])
2023-12-04_09-39-06: layers.0.bias: torch.Size([80])
2023-12-04_09-39-06: layers.2.weight: torch.Size([50, 80])
2023-12-04_09-39-06: layers.2.bias: torch.Size([50])
2023-12-04_09-39-06: layers.4.weight: torch.Size([50, 50])
2023-12-04_09-39-06: layers.4.bias: torch.Size([50])
2023-12-04_09-39-06: layers.6.weight: torch.Size([40, 50])
2023-12-04_09-39-06: layers.6.bias: torch.Size([40])
2023-12-04_09-39-06: layers.8.weight: torch.Size([25, 40])
2023-12-04_09-39-06: layers.8.bias: torch.Size([25])
2023-12-04_09-39-06: layers.10.weight: torch.Size([2, 25])
2023-12-04_09-39-06: layers.10.bias: torch.Size([2])
2023-12-04_09-39-06: 
Total parameters: 12,052,037;	Trainable: 12,052,037
2023-12-04_09-39-58: Epoch: 1 | Train loss: 0.597604181718182 | Train acc: {'40X': 76.61, '100X': 78.71, '200X': 81.37, '400X': 79.27, 'avg_acc': 78.99, 'all_acc': 78.99} | Valid loss: 0.5456669968366623 | Valid acc: {'40X': 77.44, '100X': 79.86, '200X': 82.84, '400X': 80.77, 'avg_acc': 80.23, 'all_acc': 80.21}| Runtime: 0.9 mins
2023-12-04_09-40-51: Epoch: 2 | Train loss: 0.5110403271140279 | Train acc: {'40X': 78.16, '100X': 80.08, '200X': 84.0, '400X': 81.65, 'avg_acc': 80.97, 'all_acc': 80.95} | Valid loss: 0.488484023809433 | Valid acc: {'40X': 80.7, '100X': 79.86, '200X': 83.33, '400X': 79.67, 'avg_acc': 80.89, 'all_acc': 80.91}| Runtime: 0.9 mins
2023-12-04_09-41-46: Epoch: 3 | Train loss: 0.45696579765629125 | Train acc: {'40X': 81.22, '100X': 83.08, '200X': 85.74, '400X': 84.13, 'avg_acc': 83.54, 'all_acc': 83.53} | Valid loss: 0.463647540807724 | Valid acc: {'40X': 82.21, '100X': 81.53, '200X': 82.59, '400X': 82.14, 'avg_acc': 82.12, 'all_acc': 82.11}| Runtime: 0.9 mins
2023-12-04_09-42-43: Epoch: 4 | Train loss: 0.42359492736490995 | Train acc: {'40X': 83.15, '100X': 85.49, '200X': 86.97, '400X': 85.79, 'avg_acc': 85.35, 'all_acc': 85.35} | Valid loss: 0.45381098449230195 | Valid acc: {'40X': 82.21, '100X': 80.1, '200X': 83.58, '400X': 80.77, 'avg_acc': 81.66, 'all_acc': 81.67}| Runtime: 0.9 mins
2023-12-04_09-43-38: Epoch: 5 | Train loss: 0.39368220801289017 | Train acc: {'40X': 84.84, '100X': 87.15, '200X': 88.4, '400X': 87.25, 'avg_acc': 86.91, 'all_acc': 86.91} | Valid loss: 0.43419417679309846 | Valid acc: {'40X': 83.71, '100X': 82.49, '200X': 82.59, '400X': 81.87, 'avg_acc': 82.66, 'all_acc': 82.68}| Runtime: 0.9 mins
2023-12-04_09-44-36: Epoch: 6 | Train loss: 0.36626965703593717 | Train acc: {'40X': 86.19, '100X': 89.09, '200X': 89.21, '400X': 88.26, 'avg_acc': 88.19, 'all_acc': 88.2} | Valid loss: 0.4317731615900993 | Valid acc: {'40X': 84.21, '100X': 82.97, '200X': 83.33, '400X': 81.32, 'avg_acc': 82.96, 'all_acc': 83.0}| Runtime: 1.0 mins
2023-12-04_09-45-34: Epoch: 7 | Train loss: 0.33868358032526197 | Train acc: {'40X': 87.89, '100X': 90.36, '200X': 90.22, '400X': 89.14, 'avg_acc': 89.4, 'all_acc': 89.42} | Valid loss: 0.41986391454935074 | Valid acc: {'40X': 84.46, '100X': 83.21, '200X': 83.83, '400X': 81.04, 'avg_acc': 83.14, 'all_acc': 83.19}| Runtime: 1.0 mins
2023-12-04_09-46-32: Epoch: 8 | Train loss: 0.3110588117427117 | Train acc: {'40X': 88.62, '100X': 91.65, '200X': 92.2, '400X': 90.19, 'avg_acc': 90.66, 'all_acc': 90.69} | Valid loss: 0.41496145248413085 | Valid acc: {'40X': 84.71, '100X': 83.21, '200X': 84.08, '400X': 81.59, 'avg_acc': 83.4, 'all_acc': 83.44}| Runtime: 1.0 mins
2023-12-04_09-47-29: Epoch: 9 | Train loss: 0.2813445302481587 | Train acc: {'40X': 89.7, '100X': 92.62, '200X': 93.12, '400X': 91.55, 'avg_acc': 91.75, 'all_acc': 91.77} | Valid loss: 0.41701627790927887 | Valid acc: {'40X': 84.96, '100X': 83.69, '200X': 83.83, '400X': 82.42, 'avg_acc': 83.72, 'all_acc': 83.75}| Runtime: 0.9 mins
2023-12-04_09-48-26: Epoch: 10 | Train loss: 0.25300025607685783 | Train acc: {'40X': 91.06, '100X': 93.98, '200X': 93.68, '400X': 92.67, 'avg_acc': 92.85, 'all_acc': 92.86} | Valid loss: 0.4160484543442726 | Valid acc: {'40X': 83.96, '100X': 82.49, '200X': 84.58, '400X': 80.77, 'avg_acc': 82.95, 'all_acc': 83.0}| Runtime: 0.9 mins
2023-12-04_09-49-23: Epoch: 11 | Train loss: 0.22463945742394473 | Train acc: {'40X': 92.64, '100X': 95.18, '200X': 94.86, '400X': 93.85, 'avg_acc': 94.13, 'all_acc': 94.15} | Valid loss: 0.4071749046444893 | Valid acc: {'40X': 84.46, '100X': 83.69, '200X': 84.08, '400X': 81.32, 'avg_acc': 83.39, 'all_acc': 83.44}| Runtime: 1.0 mins
2023-12-04_09-50-20: Epoch: 12 | Train loss: 0.19694209632438583 | Train acc: {'40X': 93.48, '100X': 96.38, '200X': 96.27, '400X': 95.41, 'avg_acc': 95.38, 'all_acc': 95.4} | Valid loss: 0.4383806124329567 | Valid acc: {'40X': 84.21, '100X': 82.25, '200X': 84.58, '400X': 80.22, 'avg_acc': 82.82, 'all_acc': 82.87}| Runtime: 1.0 mins
2023-12-04_09-51-17: Epoch: 13 | Train loss: 0.172402222514958 | Train acc: {'40X': 94.48, '100X': 97.27, '200X': 97.27, '400X': 96.23, 'avg_acc': 96.31, 'all_acc': 96.33} | Valid loss: 0.41494869500398635 | Valid acc: {'40X': 85.71, '100X': 81.77, '200X': 84.08, '400X': 80.22, 'avg_acc': 82.94, 'all_acc': 83.0}| Runtime: 0.9 mins
2023-12-04_09-52-12: Epoch: 14 | Train loss: 0.1455538343336131 | Train acc: {'40X': 95.48, '100X': 97.83, '200X': 98.09, '400X': 97.43, 'avg_acc': 97.21, 'all_acc': 97.21} | Valid loss: 0.42218910202383997 | Valid acc: {'40X': 85.71, '100X': 82.73, '200X': 84.58, '400X': 80.77, 'avg_acc': 83.45, 'all_acc': 83.5}| Runtime: 0.9 mins
2023-12-04_09-53-10: Epoch: 15 | Train loss: 0.1251719362933088 | Train acc: {'40X': 95.82, '100X': 98.24, '200X': 98.92, '400X': 97.98, 'avg_acc': 97.74, 'all_acc': 97.74} | Valid loss: 0.4198923337459564 | Valid acc: {'40X': 85.46, '100X': 83.21, '200X': 84.58, '400X': 80.77, 'avg_acc': 83.5, 'all_acc': 83.57}| Runtime: 1.0 mins
2023-12-04_09-54-07: Epoch: 16 | Train loss: 0.10595011492133946 | Train acc: {'40X': 96.73, '100X': 98.48, '200X': 99.34, '400X': 98.53, 'avg_acc': 98.27, 'all_acc': 98.27} | Valid loss: 0.43715293243527414 | Valid acc: {'40X': 85.21, '100X': 82.49, '200X': 84.33, '400X': 80.77, 'avg_acc': 83.2, 'all_acc': 83.25}| Runtime: 1.0 mins
2023-12-04_09-55-05: Epoch: 17 | Train loss: 0.09002172863866026 | Train acc: {'40X': 97.33, '100X': 98.56, '200X': 99.5, '400X': 98.81, 'avg_acc': 98.55, 'all_acc': 98.54} | Valid loss: 0.43638630032539366 | Valid acc: {'40X': 85.21, '100X': 84.17, '200X': 84.33, '400X': 82.69, 'avg_acc': 84.1, 'all_acc': 84.13}| Runtime: 1.0 mins
2023-12-04_09-56-02: Epoch: 18 | Train loss: 0.07638500357751508 | Train acc: {'40X': 97.4, '100X': 98.8, '200X': 99.67, '400X': 99.27, 'avg_acc': 98.78, 'all_acc': 98.78} | Valid loss: 0.4413488095998764 | Valid acc: {'40X': 84.46, '100X': 82.73, '200X': 83.58, '400X': 82.14, 'avg_acc': 83.23, 'all_acc': 83.25}| Runtime: 1.0 mins
2023-12-04_09-56-59: Epoch: 19 | Train loss: 0.06433388598363947 | Train acc: {'40X': 98.49, '100X': 99.04, '200X': 99.67, '400X': 99.36, 'avg_acc': 99.14, 'all_acc': 99.13} | Valid loss: 0.47709698736667633 | Valid acc: {'40X': 84.96, '100X': 82.49, '200X': 85.07, '400X': 81.87, 'avg_acc': 83.6, 'all_acc': 83.63}| Runtime: 1.0 mins
2023-12-04_09-57-56: Epoch: 20 | Train loss: 0.054366102706439594 | Train acc: {'40X': 98.58, '100X': 99.52, '200X': 99.67, '400X': 99.63, 'avg_acc': 99.35, 'all_acc': 99.35} | Valid loss: 0.475134584158659 | Valid acc: {'40X': 85.46, '100X': 82.97, '200X': 83.83, '400X': 80.77, 'avg_acc': 83.26, 'all_acc': 83.31}| Runtime: 0.9 mins
2023-12-04_09-58-54: Epoch: 21 | Train loss: 0.045674659425040356 | Train acc: {'40X': 98.83, '100X': 99.68, '200X': 99.75, '400X': 99.82, 'avg_acc': 99.52, 'all_acc': 99.51} | Valid loss: 0.4760725548863411 | Valid acc: {'40X': 84.71, '100X': 83.93, '200X': 84.08, '400X': 81.87, 'avg_acc': 83.65, 'all_acc': 83.69}| Runtime: 1.0 mins
2023-12-04_09-59-51: Epoch: 22 | Train loss: 0.03848318902247057 | Train acc: {'40X': 99.08, '100X': 99.68, '200X': 99.83, '400X': 99.91, 'avg_acc': 99.62, 'all_acc': 99.62} | Valid loss: 0.5031997074186801 | Valid acc: {'40X': 84.71, '100X': 82.97, '200X': 84.33, '400X': 81.59, 'avg_acc': 83.4, 'all_acc': 83.44}| Runtime: 0.9 mins
2023-12-04_10-00-47: Epoch: 23 | Train loss: 0.03257821103230723 | Train acc: {'40X': 99.08, '100X': 99.68, '200X': 99.92, '400X': 99.91, 'avg_acc': 99.65, 'all_acc': 99.64} | Valid loss: 0.5146106010675431 | Valid acc: {'40X': 84.96, '100X': 82.97, '200X': 84.08, '400X': 81.87, 'avg_acc': 83.47, 'all_acc': 83.5}| Runtime: 0.9 mins
2023-12-04_10-01-40: Epoch: 24 | Train loss: 0.026883680782457058 | Train acc: {'40X': 99.16, '100X': 99.68, '200X': 99.92, '400X': 99.91, 'avg_acc': 99.67, 'all_acc': 99.66} | Valid loss: 0.5263431864976883 | Valid acc: {'40X': 84.46, '100X': 83.45, '200X': 84.08, '400X': 81.32, 'avg_acc': 83.33, 'all_acc': 83.38}| Runtime: 0.9 mins
2023-12-04_10-02-34: Epoch: 25 | Train loss: 0.022367865350600834 | Train acc: {'40X': 99.58, '100X': 99.68, '200X': 99.92, '400X': 99.91, 'avg_acc': 99.77, 'all_acc': 99.77} | Valid loss: 0.5435043197870254 | Valid acc: {'40X': 84.46, '100X': 83.69, '200X': 84.33, '400X': 81.87, 'avg_acc': 83.59, 'all_acc': 83.63}| Runtime: 0.9 mins
2023-12-04_10-03-27: Epoch: 26 | Train loss: 0.018426470351531297 | Train acc: {'40X': 99.67, '100X': 99.84, '200X': 99.92, '400X': 99.91, 'avg_acc': 99.84, 'all_acc': 99.83} | Valid loss: 0.5902185443043709 | Valid acc: {'40X': 84.96, '100X': 82.73, '200X': 85.07, '400X': 81.87, 'avg_acc': 83.66, 'all_acc': 83.69}| Runtime: 0.9 mins
2023-12-04_10-04-19: Epoch: 27 | Train loss: 0.015518325727080574 | Train acc: {'40X': 99.75, '100X': 100.0, '200X': 99.92, '400X': 99.91, 'avg_acc': 99.9, 'all_acc': 99.89} | Valid loss: 0.5750820398330688 | Valid acc: {'40X': 84.21, '100X': 82.73, '200X': 84.33, '400X': 81.32, 'avg_acc': 83.15, 'all_acc': 83.19}| Runtime: 0.9 mins
2023-12-04_10-05-12: Epoch: 28 | Train loss: 0.012942615770608993 | Train acc: {'40X': 99.75, '100X': 100.0, '200X': 99.92, '400X': 99.91, 'avg_acc': 99.9, 'all_acc': 99.89} | Valid loss: 0.6118428795039654 | Valid acc: {'40X': 84.96, '100X': 82.97, '200X': 84.58, '400X': 82.14, 'avg_acc': 83.66, 'all_acc': 83.69}| Runtime: 0.9 mins
2023-12-04_10-06-05: Epoch: 29 | Train loss: 0.01089972591128301 | Train acc: {'40X': 99.75, '100X': 100.0, '200X': 99.92, '400X': 99.91, 'avg_acc': 99.9, 'all_acc': 99.89} | Valid loss: 0.6121251226961613 | Valid acc: {'40X': 84.96, '100X': 82.73, '200X': 84.33, '400X': 82.14, 'avg_acc': 83.54, 'all_acc': 83.57}| Runtime: 0.9 mins
2023-12-04_10-06-56: Epoch: 30 | Train loss: 0.009142911285036118 | Train acc: {'40X': 99.75, '100X': 100.0, '200X': 99.92, '400X': 100.0, 'avg_acc': 99.92, 'all_acc': 99.92} | Valid loss: 0.6597580124437809 | Valid acc: {'40X': 84.96, '100X': 82.49, '200X': 84.83, '400X': 81.59, 'avg_acc': 83.47, 'all_acc': 83.5}| Runtime: 0.9 mins
2023-12-04_10-06-56: Train summary:     epoch    40X    100X   200X    400X  avg_acc  all_acc
0       1  76.61   78.71  81.37   79.27    78.99    78.99
1       2  78.16   80.08  84.00   81.65    80.97    80.95
2       3  81.22   83.08  85.74   84.13    83.54    83.53
3       4  83.15   85.49  86.97   85.79    85.35    85.35
4       5  84.84   87.15  88.40   87.25    86.91    86.91
5       6  86.19   89.09  89.21   88.26    88.19    88.20
6       7  87.89   90.36  90.22   89.14    89.40    89.42
7       8  88.62   91.65  92.20   90.19    90.66    90.69
8       9  89.70   92.62  93.12   91.55    91.75    91.77
9      10  91.06   93.98  93.68   92.67    92.85    92.86
10     11  92.64   95.18  94.86   93.85    94.13    94.15
11     12  93.48   96.38  96.27   95.41    95.38    95.40
12     13  94.48   97.27  97.27   96.23    96.31    96.33
13     14  95.48   97.83  98.09   97.43    97.21    97.21
14     15  95.82   98.24  98.92   97.98    97.74    97.74
15     16  96.73   98.48  99.34   98.53    98.27    98.27
16     17  97.33   98.56  99.50   98.81    98.55    98.54
17     18  97.40   98.80  99.67   99.27    98.78    98.78
18     19  98.49   99.04  99.67   99.36    99.14    99.13
19     20  98.58   99.52  99.67   99.63    99.35    99.35
20     21  98.83   99.68  99.75   99.82    99.52    99.51
21     22  99.08   99.68  99.83   99.91    99.62    99.62
22     23  99.08   99.68  99.92   99.91    99.65    99.64
23     24  99.16   99.68  99.92   99.91    99.67    99.66
24     25  99.58   99.68  99.92   99.91    99.77    99.77
25     26  99.67   99.84  99.92   99.91    99.84    99.83
26     27  99.75  100.00  99.92   99.91    99.90    99.89
27     28  99.75  100.00  99.92   99.91    99.90    99.89
28     29  99.75  100.00  99.92   99.91    99.90    99.89
29     30  99.75  100.00  99.92  100.00    99.92    99.92
2023-12-04_10-06-56: Eval summary:     epoch    40X   100X   200X   400X  avg_acc  all_acc
0       1  77.44  79.86  82.84  80.77    80.23    80.21
1       2  80.70  79.86  83.33  79.67    80.89    80.91
2       3  82.21  81.53  82.59  82.14    82.12    82.11
3       4  82.21  80.10  83.58  80.77    81.66    81.67
4       5  83.71  82.49  82.59  81.87    82.66    82.68
5       6  84.21  82.97  83.33  81.32    82.96    83.00
6       7  84.46  83.21  83.83  81.04    83.14    83.19
7       8  84.71  83.21  84.08  81.59    83.40    83.44
8       9  84.96  83.69  83.83  82.42    83.72    83.75
9      10  83.96  82.49  84.58  80.77    82.95    83.00
10     11  84.46  83.69  84.08  81.32    83.39    83.44
11     12  84.21  82.25  84.58  80.22    82.82    82.87
12     13  85.71  81.77  84.08  80.22    82.94    83.00
13     14  85.71  82.73  84.58  80.77    83.45    83.50
14     15  85.46  83.21  84.58  80.77    83.50    83.57
15     16  85.21  82.49  84.33  80.77    83.20    83.25
16     17  85.21  84.17  84.33  82.69    84.10    84.13
17     18  84.46  82.73  83.58  82.14    83.23    83.25
18     19  84.96  82.49  85.07  81.87    83.60    83.63
19     20  85.46  82.97  83.83  80.77    83.26    83.31
20     21  84.71  83.93  84.08  81.87    83.65    83.69
21     22  84.71  82.97  84.33  81.59    83.40    83.44
22     23  84.96  82.97  84.08  81.87    83.47    83.50
23     24  84.46  83.45  84.08  81.32    83.33    83.38
24     25  84.46  83.69  84.33  81.87    83.59    83.63
25     26  84.96  82.73  85.07  81.87    83.66    83.69
26     27  84.21  82.73  84.33  81.32    83.15    83.19
27     28  84.96  82.97  84.58  82.14    83.66    83.69
28     29  84.96  82.73  84.33  82.14    83.54    83.57
29     30  84.96  82.49  84.83  81.59    83.47    83.50
2023-12-04_10-06-56: Final test accuracy: {'40X': 83.71, '100X': 80.53, '200X': 89.58, '400X': 87.09, 'avg_acc': 85.23, 'all_acc': 85.15}
