,n_epochs,batch_size,h,w,lr,optimizer,momentum,device,n_gpus,kernel_size,flatten,model,num_blocks_list,is_batchnorm,total_parameters,40X,100X,200X,400X,avg_acc,all_acc,log_name,weight_decay,h_dim_list,use_pooling,num_kernel_conv_list
0,30,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,95.24,95.91,98.01,94.23,95.85,95.89,v2_resnet_epoch30_lr0.0001_2023-12-03_18-15-17.log,,,,
1,30,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,95.74,94.47,96.77,95.05,95.51,95.51,v2_resnet_epoch30_lr0.0001_2023-12-03_17-00-02.log,,,,
2,30,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,92.23,94.23,97.27,93.96,94.42,94.44,v2_resnet_epoch30_lr0.0001_2023-12-03_17-33-20.log,,,,
3,10,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,92.73,94.23,98.26,92.31,94.38,94.44,resnet_epoch10_lr0.0001_2023-12-02_16-07-24.log,,,,
4,10,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,93.98,90.87,97.02,94.51,94.1,94.06,resnet_epoch10_lr0.0001_2023-12-02_16-18-34.log,,,,
5,10,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,93.23,92.79,96.53,93.68,94.06,94.06,resnet_epoch10_lr0.0001_2023-12-02_17-03-15.log,,,,
6,10,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,91.48,88.7,96.28,92.03,92.12,92.1,resnet_epoch10_lr0.0001_2023-12-02_16-46-40.log,,,,
7,10,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,91.48,90.87,94.79,89.84,91.74,91.78,resnet_epoch10_lr0.0001_2023-12-02_15-56-18.log,,,,
8,10,32,224,224,0.0001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,89.22,91.11,94.79,91.76,91.72,91.72,resnet_epoch10_lr0.0001_2023-12-02_16-32-36.log,,,,
9,10,32,224,224,1e-05,adam,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,88.22,91.35,96.03,90.11,91.43,91.47,resnet_epoch10_lr1e-05_2023-12-02_18-27-04.log,,,,
10,10,32,224,224,1e-05,adam,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,89.97,88.22,96.03,90.93,91.29,91.28,resnet_epoch10_lr1e-05_2023-12-02_17-19-52.log,,,,
11,10,32,224,224,0.001,sgd,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,90.48,90.87,93.55,89.01,90.98,91.02,resnet_epoch10_lr0.001_2023-12-02_19-06-08.log,,,,
12,10,32,224,224,0.001,sgd,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,90.23,88.46,96.03,89.01,90.93,90.96,resnet_epoch10_lr0.001_2023-12-02_18-43-42.log,,,,
13,10,32,224,224,1e-05,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,90.23,87.74,95.78,89.84,90.9,90.9,resnet_epoch10_lr1e-05_2023-12-02_17-42-14.log,,,,
14,10,32,224,224,0.001,sgd,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,89.22,87.98,94.29,89.56,90.26,90.27,resnet_epoch10_lr0.001_2023-12-02_19-20-17.log,,,,
15,10,32,224,224,0.001,adam,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,87.47,88.46,92.56,91.21,89.92,89.89,resnet_epoch10_lr0.001_2023-12-02_14-44-16.log,,,,
16,10,32,224,224,0.001,sgd,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,89.47,85.82,94.29,89.84,89.85,89.82,resnet_epoch10_lr0.001_2023-12-02_19-51-04.log,,,,
17,10,32,224,224,1e-05,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,90.23,86.78,92.8,89.56,89.84,89.82,resnet_epoch10_lr1e-05_2023-12-02_17-56-15.log,,,,
18,10,32,224,224,1e-05,adam,0.9,cuda,2,3.0,False,resnet,"[3, 4, 6, 3]",True,21278018,88.72,88.22,93.55,88.74,89.81,89.82,resnet_epoch10_lr1e-05_2023-12-02_18-10-21.log,,,,
19,10,32,224,224,1e-05,adam,0.9,cuda,2,3.0,False,resnet,"[2, 2, 2, 2]",True,11169858,90.48,86.54,94.29,87.91,89.8,89.82,resnet_epoch10_lr1e-05_2023-12-02_17-31-02.log,,,,
20,30,32,224,224,0.0001,adam,0.9,cuda:1,1,3.0,,CNN,,,193602,90.48,88.22,92.8,87.36,89.72,89.76,CNN_epoch30_lr0.0001_2023-12-04_08-59-08.log,0.0,,True,"[32, 64, 64, 64]"
21,30,32,224,224,0.001,adam,0.9,cuda:1,1,3.0,,CNN,,,193602,87.47,87.5,93.55,88.74,89.32,89.32,CNN_epoch30_lr0.001_2023-12-04_08-55-12.log,0.0,,True,"[32, 64, 64, 64]"
22,10,32,224,224,0.001,adam,0.9,cuda,2,3.0,False,resnet,"[3, 2, 3, 4]",True,21865794,85.96,88.46,92.31,90.38,89.28,89.25,resnet_epoch10_lr0.001_2023-12-02_15-09-17.log,,,,
23,10,32,224,224,0.001,adam,0.9,cuda:1,1,3.0,,CNN,,,193602,88.22,90.14,91.07,87.09,89.13,89.19,CNN_epoch10_lr0.001_2023-12-04_01-11-50.log,0.0,,True,"[32, 64, 64, 64]"
24,10,32,224,224,0.0001,adam,0.9,cuda:1,1,3.0,,CNN,,,193602,86.47,88.46,92.06,88.46,88.86,88.87,CNN_epoch10_lr0.0001_2023-12-04_00-33-51.log,0.0,,True,"[32, 64, 64, 64]"
